event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
27220837455,true,2002-03-30 00:00:00.000,15.769,2.476,"1","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837456,true,2002-03-31 00:00:00.000,15.74,2.502,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837457,true,2002-03-31 00:00:00.000,15.744,2.506,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837458,true,2002-03-31 00:00:00.000,15.747,2.507,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837459,true,2002-04-01 00:00:00.000,15.771,2.479,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837460,true,2002-04-01 00:00:00.000,15.77,2.485,"3","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837461,true,2002-04-02 00:00:00.000,15.849,2.493,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837462,true,2002-04-02 00:00:00.000,15.795,2.514,"A","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837463,true,2002-04-02 00:00:00.000,15.766,2.51,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837464,true,2002-04-03 00:00:00.000,15.761,2.518,"2","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
27220837465,true,2002-04-03 00:00:00.000,15.74,2.508,"1","argos-doppler-shift",,"#2789885948","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14118"
