,num_timesteps,interval_number,iteration_times,gaps,iteration_number
0,10,1,17.8999240398407,0.6826115684189311,5
1,10,2,17.3240909576416,0.5501024663618532,10
2,10,3,17.745929956436157,0.41385220851335514,15
3,10,4,17.758867502212524,0.41251799569271225,20
4,10,5,17.765405416488647,0.3679929847255545,25
5,10,6,18.455707788467407,0.24120931969004822,30
6,10,7,18.32882595062256,0.25878991579579114,35
7,10,8,18.09471607208252,0.2490846796124071,40
8,10,9,18.169734716415405,0.21629868996199864,45
9,10,10,18.610722064971924,0.2077763078070064,50
10,10,11,18.56130361557007,0.19711977003628622,55
11,10,12,18.249971389770508,0.21317409463322978,60
12,10,13,17.858243227005005,0.22130610763684277,65
13,10,14,17.317868947982788,0.21539189803898406,70
