,seed,num_timesteps,num_attackers,num_defenders,force_return,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,1,8,1,1,True,1,1,0.07568502426147461,0.9741637111503881,11,6,11,6
1,1,8,1,1,True,1,2,0.06536030769348145,0.9741637111503881,11,6,11,6
2,1,8,1,1,True,1,3,0.07110738754272461,0.45238929365825176,11,6,11,6
3,1,8,1,1,True,1,4,0.053080081939697266,0.9458456902317263,11,6,11,6
4,1,8,1,1,True,1,5,0.07703185081481934,0.267840176375723,11,6,11,6
5,1,8,1,1,True,1,6,0.05264449119567871,0.9163956259857499,11,6,11,6
6,1,8,1,1,True,1,7,0.07193684577941895,0.18991395676164347,11,6,11,6
7,1,8,1,1,True,1,8,0.06573367118835449,0.9084754260473044,11,6,11,6
8,1,8,1,1,True,1,9,0.0649709701538086,0.08080948761671758,11,6,11,6
9,1,8,1,1,True,1,10,0.053995609283447266,0.8389950385822365,11,6,11,6
10,1,8,1,1,True,1,11,0.06406736373901367,0.0,11,6,11,6
11,2,8,1,1,True,1,1,0.06367707252502441,0.9581209487890431,11,6,11,6
12,2,8,1,1,True,1,2,0.04781341552734375,0.9581209487890431,11,6,11,6
13,2,8,1,1,True,1,3,0.05018329620361328,0.42880506937061486,11,6,11,6
14,2,8,1,1,True,1,4,0.09831452369689941,0.9181113859092189,11,6,11,6
15,2,8,1,1,True,1,5,0.06849479675292969,0.2558379665668711,11,6,11,6
16,2,8,1,1,True,1,6,0.06637215614318848,0.8942237132148847,11,6,11,6
17,2,8,1,1,True,1,7,0.10524630546569824,0.1383458869870735,11,6,11,6
18,2,8,1,1,True,1,8,0.05608224868774414,0.84403057825128,11,6,11,6
19,2,8,1,1,True,1,9,0.09617233276367188,0.23142447221916074,11,6,11,6
20,2,8,1,1,True,1,10,0.05910682678222656,0.7833027179601634,11,6,11,6
21,2,8,1,1,True,1,11,0.07230067253112793,1.1102230246251565e-16,11,6,11,6
22,3,8,1,1,True,1,1,0.0603024959564209,0.998306739284666,9,5,8,5
23,3,8,1,1,True,1,2,0.05743741989135742,0.998306739284666,9,5,8,5
24,3,8,1,1,True,1,3,0.08685898780822754,0.4098472887900195,9,5,8,5
25,3,8,1,1,True,1,4,0.05458688735961914,0.9094236149160225,9,5,8,5
26,3,8,1,1,True,1,5,0.05455756187438965,0.10165117141987634,9,5,8,5
27,3,8,1,1,True,1,6,0.059537410736083984,0.7465433324457716,9,5,8,5
28,3,8,1,1,True,1,7,0.0519862174987793,0.25221071320648075,9,5,8,5
29,3,8,1,1,True,1,8,0.06314587593078613,0.7025799471055434,9,5,8,5
30,3,8,1,1,True,1,9,0.05886983871459961,1.1102230246251565e-16,9,5,8,5
31,4,8,1,1,True,1,1,0.08515357971191406,0.9457309532361343,11,6,9,6
32,4,8,1,1,True,1,2,0.043656349182128906,0.9457309532361343,11,6,9,6
33,4,8,1,1,True,1,3,0.06539011001586914,0.35907031699818104,11,6,9,6
34,4,8,1,1,True,1,4,0.058463335037231445,0.8451246461762194,11,6,9,6
35,4,8,1,1,True,1,5,0.05327916145324707,0.20136864623356832,11,6,9,6
36,4,8,1,1,True,1,6,0.04803609848022461,0.8185305764836944,11,6,9,6
37,4,8,1,1,True,1,7,0.06377005577087402,0.10026784682497702,11,6,9,6
38,4,8,1,1,True,1,8,0.06577181816101074,0.7725605506558525,11,6,9,6
39,4,8,1,1,True,1,9,0.07458305358886719,0.04286684858400136,11,6,9,6
40,4,8,1,1,True,1,10,0.06393957138061523,0.7377046761610179,11,6,9,6
41,4,8,1,1,True,1,11,0.07788586616516113,0.0,11,6,9,6
42,5,8,1,1,True,1,1,0.06688833236694336,0.9997157197217796,15,6,14,8
43,5,8,1,1,True,1,2,0.05876612663269043,0.9997157197217796,15,6,14,8
44,5,8,1,1,True,1,3,0.06232595443725586,0.4951879608326677,15,6,14,8
45,5,8,1,1,True,1,4,0.05762529373168945,0.995116880659767,15,6,14,8
46,5,8,1,1,True,1,5,0.0751199722290039,0.4883572978164894,15,6,14,8
47,5,8,1,1,True,1,6,0.09367060661315918,0.9882862176435887,15,6,14,8
48,5,8,1,1,True,1,7,0.07588791847229004,0.26152694510050534,15,6,14,8
49,5,8,1,1,True,1,8,0.05926060676574707,0.9244899243145627,15,6,14,8
50,5,8,1,1,True,1,9,0.08402323722839355,0.1583796926147487,15,6,14,8
51,5,8,1,1,True,1,10,0.045928239822387695,0.8903660113518052,15,6,14,8
52,5,8,1,1,True,1,11,0.08042144775390625,0.11806670855053403,15,6,14,8
53,5,8,1,1,True,1,12,0.07542800903320312,0.8841197021452518,15,6,14,8
54,5,8,1,1,True,1,13,0.0723271369934082,0.11562474623853058,15,6,14,8
55,5,8,1,1,True,1,14,0.07986927032470703,0.8816777398332486,15,6,14,8
56,5,8,1,1,True,1,15,0.07462573051452637,0.0,15,6,14,8
57,6,8,1,1,True,1,1,0.09080648422241211,0.9009726491501182,11,6,10,6
58,6,8,1,1,True,1,2,0.047592878341674805,0.9009726491501182,11,6,10,6
59,6,8,1,1,True,1,3,0.06365609169006348,0.37780515900333395,11,6,10,6
60,6,8,1,1,True,1,4,0.06400585174560547,0.8398319383318597,11,6,10,6
61,6,8,1,1,True,1,5,0.058161258697509766,0.1774516463086565,11,6,10,6
62,6,8,1,1,True,1,6,0.052790164947509766,0.7735606409037611,11,6,10,6
63,6,8,1,1,True,1,7,0.06582784652709961,0.10782386073562655,11,6,10,6
64,6,8,1,1,True,1,8,0.08014941215515137,0.7532885049008976,11,6,10,6
65,6,8,1,1,True,1,9,0.08858966827392578,0.01333796150312494,11,6,10,6
66,6,8,1,1,True,1,10,0.055071353912353516,0.6827573667787011,11,6,10,6
67,6,8,1,1,True,1,11,0.08003473281860352,5.551115123125783e-16,11,6,10,6
68,7,8,1,1,True,1,1,0.1116795539855957,0.9062910619469988,13,6,11,7
69,7,8,1,1,True,1,2,0.07905435562133789,0.9062910619469988,13,6,11,7
70,7,8,1,1,True,1,3,0.07916593551635742,0.3853981132525136,13,6,11,7
71,7,8,1,1,True,1,4,0.04779767990112305,0.8608192491106204,13,6,11,7
72,7,8,1,1,True,1,5,0.0736081600189209,0.362825666250744,13,6,11,7
73,7,8,1,1,True,1,6,0.04576754570007324,0.8382468021088507,13,6,11,7
74,7,8,1,1,True,1,7,0.11182141304016113,0.21373118913021216,13,6,11,7
75,7,8,1,1,True,1,8,0.04783320426940918,0.8204602342262941,13,6,11,7
76,7,8,1,1,True,1,9,0.06325078010559082,0.14787012438961644,13,6,11,7
77,7,8,1,1,True,1,10,0.04743027687072754,0.8122936274100945,13,6,11,7
78,7,8,1,1,True,1,11,0.06328606605529785,0.04099879082028701,13,6,11,7
79,7,8,1,1,True,1,12,0.12746000289916992,0.7301121568923452,13,6,11,7
80,7,8,1,1,True,1,13,0.04729723930358887,0.0,13,6,11,7
81,8,8,1,1,True,1,1,0.12732458114624023,0.9893298440539777,13,7,9,7
82,8,8,1,1,True,1,2,0.04745841026306152,0.9893298440539777,13,7,9,7
83,8,8,1,1,True,1,3,0.06358504295349121,0.4810045623480417,13,7,9,7
84,8,8,1,1,True,1,4,0.06777048110961914,0.9783227154994875,13,7,9,7
85,8,8,1,1,True,1,5,0.07654738426208496,0.30722480066596725,13,7,9,7
