animal_id,lat,long,timestamp
14118,2.855,15.573,2002-06-13 00:00:00.000
14118,2.852,15.538,2002-06-13 00:00:00.000
14118,2.876,15.566,2002-06-14 00:00:00.000
14118,2.868,15.557,2002-06-15 00:00:00.000
14118,2.865,15.569,2002-06-15 00:00:00.000
14118,2.873,15.565,2002-06-16 00:00:00.000
14118,2.883,15.573,2002-06-17 00:00:00.000
14118,2.852,15.568,2002-06-17 00:00:00.000
14118,2.85,15.56,2002-06-20 00:00:00.000
14118,2.893,15.645,2002-06-20 00:00:00.000
14118,2.882,15.551,2002-06-21 00:00:00.000
14118,2.849,15.626,2002-06-22 00:00:00.000
14118,2.874,15.554,2002-06-22 00:00:00.000
14118,2.864,15.582,2002-06-23 00:00:00.000
14118,2.862,15.579,2002-06-23 00:00:00.000
14118,2.855,15.569,2002-06-24 00:00:00.000
14118,2.853,15.584,2002-06-25 00:00:00.000
14118,2.852,15.552,2002-06-26 00:00:00.000
14118,2.864,15.545,2002-06-28 00:00:00.000
14118,2.922,15.894,2002-06-28 00:00:00.000
14118,2.824,15.563,2002-06-29 00:00:00.000
14118,2.829,15.64,2002-06-30 00:00:00.000
14118,2.819,15.571,2002-06-30 00:00:00.000
14118,2.839,15.563,2002-07-01 00:00:00.000
14118,2.831,15.526,2002-07-02 00:00:00.000
14118,2.822,15.516,2002-07-03 00:00:00.000
14118,2.852,15.563,2002-07-04 00:00:00.000
14118,2.893,15.572,2002-07-05 00:00:00.000
14118,2.891,15.542,2002-07-06 00:00:00.000
14118,2.816,15.776,2002-07-07 00:00:00.000
14118,2.887,15.523,2002-07-07 00:00:00.000
14118,2.861,15.567,2002-07-10 00:00:00.000
14118,2.89,15.545,2002-07-11 00:00:00.000
14118,2.869,15.564,2002-07-11 00:00:00.000
14118,2.892,15.57,2002-07-12 00:00:00.000
14118,2.867,15.549,2002-07-12 00:00:00.000
14118,2.865,15.589,2002-07-13 00:00:00.000
14118,2.852,15.582,2002-07-14 00:00:00.000
14118,2.867,15.635,2002-07-14 00:00:00.000
14118,2.855,15.578,2002-07-15 00:00:00.000
14118,2.848,15.579,2002-07-15 00:00:00.000
14118,2.848,15.592,2002-07-16 00:00:00.000
14118,2.875,15.559,2002-07-19 00:00:00.000
14118,2.876,15.561,2002-07-19 00:00:00.000
14118,2.863,15.581,2002-07-20 00:00:00.000
14118,2.828,15.576,2002-07-21 00:00:00.000
14118,2.851,15.588,2002-07-22 00:00:00.000
14118,2.86,15.613,2002-07-22 00:00:00.000
14118,2.863,15.606,2002-07-29 00:00:00.000
14118,2.921,15.732,2002-07-30 00:00:00.000
14118,2.894,15.628,2002-07-30 00:00:00.000
14118,2.896,15.606,2002-07-31 00:00:00.000
14118,2.914,15.569,2002-08-01 00:00:00.000
14118,2.891,15.581,2002-08-01 00:00:00.000
14118,2.899,15.583,2002-08-01 00:00:00.000
14118,2.904,15.576,2002-08-02 00:00:00.000
14118,2.908,15.542,2002-08-04 00:00:00.000
14118,2.897,15.583,2002-08-04 00:00:00.000
14118,2.876,15.598,2002-08-05 00:00:00.000
14118,2.89,15.56,2002-08-05 00:00:00.000
14118,2.893,15.561,2002-08-06 00:00:00.000
14118,2.897,15.547,2002-08-06 00:00:00.000
14118,2.911,15.566,2002-08-07 00:00:00.000
14118,2.896,15.564,2002-08-07 00:00:00.000
14118,2.939,15.609,2002-08-07 00:00:00.000
14118,2.96,15.572,2002-08-08 00:00:00.000
14118,2.955,15.584,2002-08-08 00:00:00.000
14118,2.994,15.587,2002-08-09 00:00:00.000
14118,2.994,15.587,2002-08-09 00:00:00.000
14118,2.994,15.587,2002-08-09 00:00:00.000
14118,2.968,15.586,2002-08-09 00:00:00.000
14118,2.968,15.586,2002-08-09 00:00:00.000
14118,2.968,15.586,2002-08-09 00:00:00.000
14118,3.01,15.563,2002-08-10 00:00:00.000
14118,3.01,15.563,2002-08-10 00:00:00.000
14118,2.988,15.573,2002-08-10 00:00:00.000
14118,2.988,15.573,2002-08-10 00:00:00.000
14118,2.987,15.592,2002-08-10 00:00:00.000
14118,2.987,15.592,2002-08-10 00:00:00.000
14118,2.981,15.589,2002-08-11 00:00:00.000
14118,2.979,15.601,2002-08-11 00:00:00.000
14118,2.92,15.598,2002-08-16 00:00:00.000
14118,2.927,15.57,2002-08-17 00:00:00.000
14118,2.928,15.572,2002-08-17 00:00:00.000
14118,2.936,15.582,2002-08-17 00:00:00.000
14118,2.946,15.57,2002-08-18 00:00:00.000
14118,2.962,15.587,2002-08-18 00:00:00.000
14118,2.95,15.57,2002-08-19 00:00:00.000
14118,2.95,15.57,2002-08-19 00:00:00.000
14118,2.989,15.474,2002-08-19 00:00:00.000
14118,2.989,15.474,2002-08-19 00:00:00.000
14118,2.942,15.589,2002-08-19 00:00:00.000
14118,2.942,15.589,2002-08-19 00:00:00.000
14118,2.919,15.594,2002-08-20 00:00:00.000
14118,2.897,15.587,2002-08-21 00:00:00.000
14118,2.891,15.602,2002-08-21 00:00:00.000
14118,2.943,15.58,2002-08-22 00:00:00.000
14118,2.943,15.58,2002-08-22 00:00:00.000
14118,2.963,15.58,2002-08-23 00:00:00.000
14118,2.963,15.58,2002-08-23 00:00:00.000
14118,3.051,15.557,2002-08-24 00:00:00.000
14118,3.046,15.578,2002-08-24 00:00:00.000
14118,3.066,15.586,2002-08-24 00:00:00.000
14118,3.101,15.466,2002-08-25 00:00:00.000
14118,3.08,15.449,2002-08-26 00:00:00.000
14118,3.065,15.454,2002-08-27 00:00:00.000
14118,3.053,15.449,2002-08-28 00:00:00.000
14118,3.044,15.462,2002-08-28 00:00:00.000
14118,3.052,15.465,2002-08-28 00:00:00.000
14118,3.053,15.445,2002-08-29 00:00:00.000
14118,3.057,15.448,2002-08-29 00:00:00.000
14118,3.109,15.431,2002-08-31 00:00:00.000
14118,3.098,15.419,2002-09-01 00:00:00.000
14118,3.11,15.38,2002-09-01 00:00:00.000
14118,3.127,15.381,2002-09-01 00:00:00.000
14118,3.141,15.359,2002-09-02 00:00:00.000
14118,3.153,15.368,2002-09-03 00:00:00.000
14118,3.174,15.38,2002-09-04 00:00:00.000
14118,3.172,15.365,2002-09-05 00:00:00.000
14118,3.179,15.348,2002-09-06 00:00:00.000
14118,3.182,15.369,2002-09-06 00:00:00.000
14118,3.156,15.378,2002-09-07 00:00:00.000
14118,3.152,15.377,2002-09-08 00:00:00.000
14118,3.154,15.385,2002-09-08 00:00:00.000
14118,3.147,15.375,2002-09-08 00:00:00.000
14118,3.163,15.373,2002-09-09 00:00:00.000
14118,3.164,15.328,2002-09-10 00:00:00.000
14118,3.148,15.456,2002-09-10 00:00:00.000
14118,3.162,15.359,2002-09-10 00:00:00.000
14118,3.153,15.381,2002-09-11 00:00:00.000
14118,3.152,15.358,2002-09-11 00:00:00.000
14118,3.152,15.359,2002-09-11 00:00:00.000
14118,3.161,15.361,2002-09-12 00:00:00.000
14118,3.148,15.36,2002-09-12 00:00:00.000
14118,3.181,15.363,2002-09-15 00:00:00.000
14118,3.182,15.371,2002-09-15 00:00:00.000
14118,3.17,15.337,2002-09-15 00:00:00.000
14118,3.187,15.369,2002-09-16 00:00:00.000
14118,3.188,15.381,2002-09-16 00:00:00.000
14118,3.167,15.368,2002-09-17 00:00:00.000
14118,3.156,15.384,2002-09-18 00:00:00.000
14118,3.151,15.377,2002-09-18 00:00:00.000
14118,3.153,15.384,2002-09-19 00:00:00.000
14118,3.155,15.371,2002-09-19 00:00:00.000
14118,3.134,15.389,2002-09-20 00:00:00.000
14118,3.143,15.356,2002-09-22 00:00:00.000
14118,3.142,15.301,2002-09-23 00:00:00.000
14118,3.163,15.369,2002-09-24 00:00:00.000
14118,3.149,15.364,2002-09-25 00:00:00.000
14118,3.134,15.374,2002-09-25 00:00:00.000
14118,3.128,15.359,2002-09-26 00:00:00.000
14118,3.098,15.368,2002-09-27 00:00:00.000
14118,3.127,15.36,2002-09-28 00:00:00.000
14118,3.13,15.361,2002-09-30 00:00:00.000
14118,3.125,15.36,2002-09-30 00:00:00.000
14118,3.108,15.376,2002-10-01 00:00:00.000
14118,3.092,15.372,2002-10-02 00:00:00.000
14118,3.07,15.373,2002-10-02 00:00:00.000
14118,3.106,15.385,2002-10-04 00:00:00.000
14118,3.066,15.352,2002-10-08 00:00:00.000
14118,3.076,15.387,2002-10-09 00:00:00.000
14118,3.076,15.398,2002-10-11 00:00:00.000
14118,3.086,15.393,2002-10-11 00:00:00.000
