,num_timesteps,interval_number,iteration_times,gaps,iteration_number
0,10,1,17.614402532577515,0.5965931256990423,5
1,10,2,17.59748339653015,0.418805652349393,10
2,10,3,17.380279541015625,0.3866629838904828,15
3,10,4,17.868001699447632,0.2786250451852872,20
4,10,5,18.222129344940186,0.2854312520738249,25
5,10,6,17.95708131790161,0.24508111775418118,30
6,10,7,18.2747061252594,0.22444726077758292,35
7,10,8,18.080219507217407,0.2261899593730614,40
8,10,9,18.14486861228943,0.19845109247031723,45
9,10,10,18.622958421707153,0.18629150215854862,50
10,10,11,18.26594042778015,0.17736474966770832,55
11,10,12,30.861916542053223,0.16291118609848954,60
