,animal_id,lat,long,timestamp
0,14118,2.476,15.769,2002-03-30 00:00:00.000
1,14118,2.502,15.74,2002-03-31 00:00:00.000
2,14118,2.506,15.744,2002-03-31 00:00:00.000
3,14118,2.507,15.747,2002-03-31 00:00:00.000
4,14118,2.479,15.771,2002-04-01 00:00:00.000
5,14118,2.485,15.77,2002-04-01 00:00:00.000
6,14118,2.493,15.849,2002-04-02 00:00:00.000
7,14118,2.514,15.795,2002-04-02 00:00:00.000
8,14118,2.51,15.766,2002-04-02 00:00:00.000
9,14118,2.518,15.761,2002-04-03 00:00:00.000
10,14118,2.508,15.74,2002-04-03 00:00:00.000
11,14118,2.574,15.735,2002-04-04 00:00:00.000
12,14118,2.602,15.774,2002-04-04 00:00:00.000
13,14118,2.62,15.729,2002-04-05 00:00:00.000
14,14118,2.589,15.725,2002-04-06 00:00:00.000
15,14118,2.592,15.729,2002-04-07 00:00:00.000
16,14118,2.568,15.718,2002-04-07 00:00:00.000
17,14118,2.596,15.744,2002-04-07 00:00:00.000
18,14118,2.57,15.785,2002-04-08 00:00:00.000
19,14118,2.596,15.732,2002-04-08 00:00:00.000
20,14118,2.6,15.74,2002-04-08 00:00:00.000
21,14118,2.599,15.757,2002-04-09 00:00:00.000
22,14118,2.606,15.721,2002-04-10 00:00:00.000
23,14118,2.613,15.749,2002-04-10 00:00:00.000
24,14118,2.609,15.75,2002-04-10 00:00:00.000
25,14118,2.607,15.731,2002-04-10 00:00:00.000
26,14118,2.588,15.712,2002-04-11 00:00:00.000
27,14118,2.603,15.764,2002-04-11 00:00:00.000
28,14118,2.6,15.558,2002-04-12 00:00:00.000
29,14118,2.68,15.746,2002-04-13 00:00:00.000
30,14118,2.69,15.761,2002-04-14 00:00:00.000
31,14118,2.688,15.752,2002-04-14 00:00:00.000
32,14118,2.683,15.746,2002-04-14 00:00:00.000
33,14118,2.635,15.747,2002-04-15 00:00:00.000
34,14118,2.662,15.776,2002-04-16 00:00:00.000
35,14118,2.632,15.613,2002-04-17 00:00:00.000
36,14118,2.653,15.763,2002-04-18 00:00:00.000
37,14118,2.67,15.746,2002-04-18 00:00:00.000
38,14118,2.658,15.779,2002-04-19 00:00:00.000
39,14118,2.657,15.808,2002-04-20 00:00:00.000
40,14118,2.679,15.781,2002-04-22 00:00:00.000
41,14118,2.68,15.776,2002-04-23 00:00:00.000
42,14118,2.701,15.77,2002-04-24 00:00:00.000
43,14118,2.698,15.778,2002-04-24 00:00:00.000
44,14118,2.695,15.752,2002-04-25 00:00:00.000
45,14118,2.666,15.639,2002-04-25 00:00:00.000
46,14118,2.695,15.755,2002-04-26 00:00:00.000
47,14118,2.695,15.755,2002-04-26 00:00:00.000
48,14118,2.691,15.767,2002-04-27 00:00:00.000
49,14118,2.69,15.766,2002-04-28 00:00:00.000
50,14118,2.684,15.77,2002-04-28 00:00:00.000
51,14118,2.684,15.769,2002-04-28 00:00:00.000
52,14118,2.669,15.787,2002-04-29 00:00:00.000
53,14118,2.697,16.086,2002-04-30 00:00:00.000
54,14118,2.588,15.703,2002-05-01 00:00:00.000
55,14118,2.63,15.776,2002-05-02 00:00:00.000
56,14118,2.589,15.772,2002-05-02 00:00:00.000
57,14118,2.558,15.599,2002-05-03 00:00:00.000
