,seed,num_timesteps,num_defenders,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,1,8,3,1,1,0.3373997211456299,0.8819164495580113,11,3,11,5
1,1,8,3,1,2,0.4386894702911377,0.9208078806552777,11,3,11,5
2,1,8,3,1,3,0.40699338912963867,0.8934748763778162,11,3,11,5
3,1,8,3,1,4,0.5896482467651367,0.3340408505890916,11,3,11,5
4,1,8,3,1,5,0.5288364887237549,0.3944871321014527,11,3,11,5
5,1,8,3,1,6,0.5852181911468506,0.35319396746764364,11,3,11,5
6,1,8,3,1,7,0.6430149078369141,0.29259034288651276,11,3,11,5
7,1,8,3,1,8,0.6941399574279785,0.023698296946312536,11,3,11,5
8,1,8,3,1,9,0.6886157989501953,0.022128412067834113,11,3,11,5
9,1,8,3,1,10,0.6859853267669678,0.043370369187853086,11,3,11,5
10,1,8,3,1,11,0.6824615001678467,0.0,11,3,11,5
11,2,8,3,1,1,0.36826014518737793,0.2985788241643803,15,5,14,7
12,2,8,3,1,2,0.4644331932067871,0.853110611089128,15,5,14,7
13,2,8,3,1,3,0.4403526782989502,0.3685060086541849,15,5,14,7
14,2,8,3,1,4,0.5797863006591797,0.32648448241935724,15,5,14,7
15,2,8,3,1,5,0.5614190101623535,0.2438143702089739,15,5,14,7
16,2,8,3,1,6,0.6604270935058594,0.09226135432328542,15,5,14,7
17,2,8,3,1,7,0.6194169521331787,0.1764137918354911,15,5,14,7
18,2,8,3,1,8,0.734022855758667,0.6459032276244042,15,5,14,7
19,2,8,3,1,9,0.7593870162963867,0.12169290722878223,15,5,14,7
20,2,8,3,1,10,0.7359278202056885,0.02675435973859508,15,5,14,7
21,2,8,3,1,11,0.8444490432739258,0.559455464104879,15,5,14,7
22,2,8,3,1,12,0.8493638038635254,0.08356463968789873,15,5,14,7
23,2,8,3,1,13,0.9678022861480713,0.5622722924448063,15,5,14,7
24,2,8,3,1,14,0.9080610275268555,0.07925643464711984,15,5,14,7
25,2,8,3,1,15,0.9775230884552002,1.1102230246251565e-16,15,5,14,7
26,3,8,3,1,1,0.3677995204925537,0.6535656531517392,37,9,37,12
27,3,8,3,1,2,0.48882412910461426,0.3731429900307037,37,9,37,12
28,3,8,3,1,3,0.425213098526001,0.46164024669055875,37,9,37,12
29,3,8,3,1,4,0.5618224143981934,0.7956088151845546,37,9,37,12
30,3,8,3,1,5,0.5464587211608887,0.4972799545392243,37,9,37,12
31,3,8,3,1,6,0.6437811851501465,0.26945048548368256,37,9,37,12
32,3,8,3,1,7,0.6399765014648438,0.29631197273008925,37,9,37,12
33,3,8,3,1,8,0.7268214225769043,0.12007639995675012,37,9,37,12
34,3,8,3,1,9,0.7092723846435547,0.19738384506219053,37,9,37,12
35,3,8,3,1,10,0.8836658000946045,0.6250206793204335,37,9,37,12
36,3,8,3,1,11,0.8260650634765625,0.20155881158756095,37,9,37,12
37,3,8,3,1,12,0.9574315547943115,0.18421991668482451,37,9,37,12
38,3,8,3,1,13,0.8941736221313477,0.10644645120745755,37,9,37,12
39,3,8,3,1,14,1.0141324996948242,0.32007752497816944,37,9,37,12
40,3,8,3,1,15,1.0285701751708984,0.15031426708357754,37,9,37,12
41,3,8,3,1,16,1.0850672721862793,0.5656747412987289,37,9,37,12
42,3,8,3,1,17,1.129225492477417,0.1462405644159882,37,9,37,12
43,3,8,3,1,18,1.2152812480926514,0.12292400055199315,37,9,37,12
44,3,8,3,1,19,1.2020282745361328,0.06309665386377938,37,9,37,12
45,3,8,3,1,20,1.2886154651641846,0.6443912112366041,37,9,37,12
46,3,8,3,1,21,1.2746567726135254,0.10223384527511403,37,9,37,12
47,3,8,3,1,22,1.2748119831085205,0.07256923988749564,37,9,37,12
48,3,8,3,1,23,1.3317229747772217,0.6982998579694826,37,9,37,12
49,3,8,3,1,24,1.4540634155273438,0.11203039355279465,37,9,37,12
50,3,8,3,1,25,1.3868355751037598,0.09882359323982592,37,9,37,12
51,3,8,3,1,26,1.4172070026397705,0.03746548867137067,37,9,37,12
52,3,8,3,1,27,1.3672688007354736,0.08933929962679998,37,9,37,12
53,3,8,3,1,28,1.3529744148254395,0.03785737508625475,37,9,37,12
54,3,8,3,1,29,1.3318407535552979,0.04414470997932318,37,9,37,12
55,3,8,3,1,30,1.2999889850616455,0.03491797897683602,37,9,37,12
56,3,8,3,1,31,1.4029934406280518,0.04601589216318558,37,9,37,12
57,3,8,3,1,32,1.325157880783081,0.028325271460380108,37,9,37,12
58,3,8,3,1,33,1.3953478336334229,0.03841430535780488,37,9,37,12
59,3,8,3,1,34,1.3363618850708008,0.034999486489837195,37,9,37,12
60,3,8,3,1,35,1.442976474761963,0.027100359922702544,37,9,37,12
61,3,8,3,1,36,1.3150501251220703,0.031107627967806972,37,9,37,12
62,3,8,3,1,37,1.3403737545013428,1.1102230246251565e-16,37,9,37,12
63,4,8,3,1,1,0.37473368644714355,0.593255674747601,23,6,23,12
64,4,8,3,1,2,0.4915580749511719,0.5741903697755251,23,6,23,12
65,4,8,3,1,3,0.47286534309387207,0.551661319764215,23,6,23,12
66,4,8,3,1,4,0.5999877452850342,0.8272189851203962,23,6,23,12
67,4,8,3,1,5,0.5679090023040771,0.6132061015277752,23,6,23,12
68,4,8,3,1,6,0.632183313369751,0.7147027311013544,23,6,23,12
69,4,8,3,1,7,0.6521501541137695,0.5782873926779644,23,6,23,12
70,4,8,3,1,8,0.7282061576843262,0.3301499789580692,23,6,23,12
71,4,8,3,1,9,0.7496099472045898,0.5092054239865853,23,6,23,12
72,4,8,3,1,10,0.8975327014923096,0.849837905015031,23,6,23,12
73,4,8,3,1,11,0.8525679111480713,0.44885775357933294,23,6,23,12
74,4,8,3,1,12,0.9425063133239746,0.428406556328091,23,6,23,12
75,4,8,3,1,13,0.993706464767456,0.4282056972956263,23,6,23,12
76,4,8,3,1,14,1.1805169582366943,0.3750451986194918,23,6,23,12
77,4,8,3,1,15,1.1131577491760254,0.4215936251301904,23,6,23,12
78,4,8,3,1,16,1.2618656158447266,0.2811954339702154,23,6,23,12
79,4,8,3,1,17,1.152975082397461,0.2777103186276204,23,6,23,12
80,4,8,3,1,18,1.1913363933563232,0.7103144709512923,23,6,23,12
81,4,8,3,1,19,1.2427427768707275,0.37674126573061917,23,6,23,12
82,4,8,3,1,20,1.2809312343597412,0.09479766458494487,23,6,23,12
83,4,8,3,1,21,1.3651115894317627,0.06696647609356876,23,6,23,12
84,4,8,3,1,22,1.4360911846160889,0.05473808572884109,23,6,23,12
85,4,8,3,1,23,1.3472986221313477,1.1102230246251565e-16,23,6,23,12
86,5,8,3,1,1,0.3519113063812256,0.8121223631768261,16,6,15,7
87,5,8,3,1,2,0.4783356189727783,0.0760417868986003,16,6,15,7
88,5,8,3,1,3,0.4499514102935791,0.06533962184523778,16,6,15,7
89,5,8,3,1,4,0.5700390338897705,0.37254113589910165,16,6,15,7
90,5,8,3,1,5,0.6010048389434814,0.10637491104683616,16,6,15,7
91,5,8,3,1,6,0.6920726299285889,0.8490296537871009,16,6,15,7
92,5,8,3,1,7,0.6865229606628418,0.10791969980877036,16,6,15,7
93,5,8,3,1,8,0.6942126750946045,0.6642809216989376,16,6,15,7
94,5,8,3,1,9,0.7716917991638184,0.10429779684640361,16,6,15,7
95,5,8,3,1,10,0.8442165851593018,0.5892083648229341,16,6,15,7
96,5,8,3,1,11,0.9198405742645264,0.09571626237526443,16,6,15,7
97,5,8,3,1,12,0.9353621006011963,0.049160013567102534,16,6,15,7
98,5,8,3,1,13,0.8797588348388672,0.029857520113107494,16,6,15,7
99,5,8,3,1,14,0.8977940082550049,0.10946349174318848,16,6,15,7
100,5,8,3,1,15,0.887406587600708,0.044870957706737435,16,6,15,7
101,5,8,3,1,16,0.8900008201599121,1.1102230246251565e-16,16,6,15,7
102,6,8,3,1,1,0.36471009254455566,0.9560851631120637,19,5,18,6
103,6,8,3,1,2,0.46650242805480957,0.23339709137599052,19,5,18,6
104,6,8,3,1,3,0.47957634925842285,0.21391300123145662,19,5,18,6
105,6,8,3,1,4,0.5660536289215088,0.35297075492909624,19,5,18,6
106,6,8,3,1,5,0.5903873443603516,0.25745956501988765,19,5,18,6
107,6,8,3,1,6,0.6711711883544922,0.7638115604124485,19,5,18,6
108,6,8,3,1,7,0.648535966873169,0.2586424857426177,19,5,18,6
109,6,8,3,1,8,0.6999437808990479,0.32982816003108983,19,5,18,6
110,6,8,3,1,9,0.7401697635650635,0.16370582930989908,19,5,18,6
111,6,8,3,1,10,0.8209812641143799,0.044436529995771634,19,5,18,6
112,6,8,3,1,11,0.8787243366241455,0.0673895122673831,19,5,18,6
113,6,8,3,1,12,0.8775897026062012,0.036033737473949,19,5,18,6
114,6,8,3,1,13,0.9077701568603516,0.03212370845456691,19,5,18,6
115,6,8,3,1,14,0.9049179553985596,0.03916057089334235,19,5,18,6
116,6,8,3,1,15,0.8601155281066895,0.04199346180730523,19,5,18,6
117,6,8,3,1,16,0.8643932342529297,0.01864500637942401,19,5,18,6
118,6,8,3,1,17,0.8666462898254395,0.033534053921028706,19,5,18,6
119,6,8,3,1,18,0.8221969604492188,0.019163616981218268,19,5,18,6
120,6,8,3,1,19,0.8867177963256836,0.0,19,5,18,6
121,7,8,3,1,1,0.40953516960144043,0.5670892543569389,12,3,11,7
122,7,8,3,1,2,0.5364606380462646,0.45015983451644587,12,3,11,7
123,7,8,3,1,3,0.5243518352508545,0.5136872520317335,12,3,11,7
124,7,8,3,1,4,0.6159219741821289,0.7944837252256215,12,3,11,7
125,7,8,3,1,5,0.592271089553833,0.5582106880825793,12,3,11,7
126,7,8,3,1,6,0.6513576507568359,0.13382732564644395,12,3,11,7
127,7,8,3,1,7,0.68216872215271,0.1983943535758027,12,3,11,7
128,7,8,3,1,8,0.7341194152832031,0.42204806835621095,12,3,11,7
129,7,8,3,1,9,0.7187626361846924,0.2434945401783749,12,3,11,7
130,7,8,3,1,10,0.8714933395385742,0.06345880369954116,12,3,11,7
131,7,8,3,1,11,1.0081734657287598,0.7359926264007486,12,3,11,7
132,7,8,3,1,12,0.9337282180786133,1.1102230246251565e-16,12,3,11,7
133,8,8,3,1,1,0.3535149097442627,0.6597946981327594,9,3,9,4
134,8,8,3,1,2,0.49605417251586914,0.43593451734213506,9,3,9,4
135,8,8,3,1,3,0.5107910633087158,0.5632360243299139,9,3,9,4
136,8,8,3,1,4,0.5892448425292969,0.30752889091789626,9,3,9,4
137,8,8,3,1,5,0.6283133029937744,0.31771625692345085,9,3,9,4
138,8,8,3,1,6,0.729285478591919,0.035552904765624116,9,3,9,4
139,8,8,3,1,7,0.6430866718292236,0.031868625817639495,9,3,9,4
140,8,8,3,1,8,0.7192142009735107,0.03287200814356184,9,3,9,4
141,8,8,3,1,9,0.693204402923584,1.1102230246251565e-16,9,3,9,4
142,9,8,3,1,1,0.3728151321411133,0.36099169724710123,28,7,26,11
143,9,8,3,1,2,0.4793975353240967,0.17078913299435117,28,7,26,11
144,9,8,3,1,3,0.48786234855651855,0.1592509482029223,28,7,26,11
145,9,8,3,1,4,0.5922513008117676,0.31515587855536,28,7,26,11
146,9,8,3,1,5,0.5528061389923096,0.12748364366638998,28,7,26,11
147,9,8,3,1,6,0.6948273181915283,0.6396687914083015,28,7,26,11
148,9,8,3,1,7,0.6886618137359619,0.22997646574179575,28,7,26,11
149,9,8,3,1,8,0.7953875064849854,0.4797201767296043,28,7,26,11
150,9,8,3,1,9,0.7297844886779785,0.1989094007388824,28,7,26,11
