,num_timesteps,num_attackers,num_defenders,force_return,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,7,1,1,True,1,1,0.0470120906829834,0.8509795153497519,5,3,5,3
1,7,1,1,True,1,2,0.04637551307678223,0.8509795153497519,5,3,5,3
2,7,1,1,True,1,3,0.0650482177734375,0.21914482134590835,5,3,5,3
3,7,1,1,True,1,4,0.09548449516296387,0.6788903281398909,5,3,5,3
4,7,1,1,True,1,5,0.07884716987609863,1.1102230246251565e-16,5,3,5,3
5,7,1,1,False,1,1,0.07913923263549805,0.8509795153497519,5,3,5,3
6,7,1,1,False,1,2,0.08011436462402344,0.8509795153497519,5,3,5,3
7,7,1,1,False,1,3,0.031041383743286133,0.21914482134590835,5,3,5,3
8,7,1,1,False,1,4,0.03183150291442871,0.6788903281398909,5,3,5,3
9,7,1,1,False,1,5,0.04772472381591797,1.1102230246251565e-16,5,3,5,3
10,7,1,1,True,2,1,0.046968698501586914,0.8509795153497519,2,1,2,2
11,7,1,1,True,2,2,0.08014273643493652,0.0,2,1,2,2
12,7,1,1,False,2,1,0.07107925415039062,0.8509795153497519,2,1,2,2
13,7,1,1,False,2,2,0.05638694763183594,0.0,2,1,2,2
14,7,1,2,True,1,1,0.1180870532989502,0.8509795153497519,18,8,18,9
15,7,1,2,True,1,2,0.08004021644592285,0.8509795153497519,18,8,18,9
16,7,1,2,True,1,3,0.12688374519348145,0.6788903281398909,18,8,18,9
17,7,1,2,True,1,4,0.12772274017333984,0.6788903281398909,18,8,18,9
18,7,1,2,True,1,5,0.09476351737976074,0.47129255523345,18,8,18,9
19,7,1,2,True,1,6,0.14292144775390625,0.47129255523345,18,8,18,9
20,7,1,2,True,1,7,0.17499423027038574,0.23171637524240363,18,8,18,9
21,7,1,2,True,1,8,0.0799109935760498,0.4413629392966114,18,8,18,9
22,7,1,2,True,1,9,0.20709943771362305,0.14560282629573895,18,8,18,9
23,7,1,2,True,1,10,0.39640235900878906,0.4368267704045921,18,8,18,9
24,7,1,2,True,1,11,0.19875669479370117,0.1085568479622217,18,8,18,9
25,7,1,2,True,1,12,0.13737988471984863,0.4256619144892276,18,8,18,9
26,7,1,2,True,1,13,0.1596529483795166,0.08585895663333487,18,8,18,9
27,7,1,2,True,1,14,0.15976977348327637,0.41867214043661327,18,8,18,9
28,7,1,2,True,1,15,0.2552144527435303,0.07288977999616741,18,8,18,9
29,7,1,2,True,1,16,0.14071393013000488,0.4167062962370928,18,8,18,9
