,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,defender_utility,support,runtime
0,7,1,7,10,1,-0.5109827594175502,3,0.015472173690795898
1,7,1,7,10,2,-0.5109827594175502,3,0.005730390548706055
2,7,1,7,10,1,-0.420216155702044,4,0.008522987365722656
3,7,1,7,10,2,-0.7872340425531915,0,0.008404731750488281
4,7,1,7,10,1,-0.5433835292520426,3,0.009580850601196289
5,7,1,7,10,2,-0.7872340425531915,0,0.00850534439086914
6,7,1,7,10,1,-0.43289105864648164,4,0.0075092315673828125
7,7,1,7,10,2,-0.7872340425531915,0,0.00709080696105957
8,7,1,8,10,1,-0.5062107321301194,3,0.008505821228027344
9,7,1,8,10,2,-0.5062107321301194,3,0.005174875259399414
10,7,1,8,10,1,-0.5347412318094311,3,0.009043216705322266
11,7,1,8,10,2,-0.9945205479452055,0,0.008571147918701172
12,7,1,8,10,1,-0.5279384558534381,3,0.009087800979614258
13,7,1,8,10,2,-0.6575342465753424,2,0.009071111679077148
14,7,1,8,10,1,-0.505785430157202,3,0.01001596450805664
15,7,1,8,10,2,-0.9945205479452055,0,0.008504390716552734
16,7,1,9,10,1,-0.502697440062158,3,0.011508941650390625
17,7,1,9,10,2,-0.502697440062158,3,0.010509729385375977
18,7,1,9,10,1,-0.5309392408600917,3,0.01152658462524414
19,7,1,9,10,2,-0.9863013698630136,0,0.009916305541992188
20,7,1,9,10,1,-0.5241889433548164,3,0.01177835464477539
21,7,1,9,10,2,-0.6493150684931506,2,0.010553598403930664
22,7,1,9,10,1,-0.5022595137731136,3,0.011512279510498047
23,7,1,9,10,2,-0.9863013698630136,0,0.010527610778808594
24,7,1,10,10,1,-0.47235283434720654,4,0.009511709213256836
25,7,1,10,10,2,-0.7917440891665036,1,0.012229204177856445
26,7,1,10,10,1,-0.46533993592036665,4,0.007014751434326172
27,7,1,10,10,2,-0.8216783216783217,0,0.011505842208862305
28,7,1,10,10,1,-0.5104895104895104,3,0.012542486190795898
29,7,1,10,10,2,-0.8216783216783217,0,0.012506246566772461
30,7,1,10,10,1,-0.455851453242853,4,0.012523889541625977
31,7,1,10,10,2,-0.658490992699144,1,0.012505292892456055
32,7,1,11,10,1,-0.4278137856782717,4,0.012009143829345703
33,7,1,11,10,2,-0.4278137856782717,4,0.012660741806030273
34,7,1,11,10,1,-0.5400167787012258,3,0.014114141464233398
35,7,1,11,10,2,-0.9420289855072465,0,0.014511585235595703
36,7,1,11,10,1,-0.4301148515025393,4,0.01450967788696289
37,7,1,11,10,2,-0.6840579710144927,2,0.01527857780456543
38,7,1,11,10,1,-0.5517574473206547,3,0.014017105102539062
39,7,1,11,10,2,-0.9420289855072465,0,0.014330863952636719
40,7,1,12,10,1,-0.5158283864649198,3,0.01362299919128418
41,7,1,12,10,2,-0.5158283864649198,3,0.0140838623046875
42,7,1,12,10,1,-0.5340616171447686,3,0.016069650650024414
43,7,1,12,10,2,-0.9154518950437317,0,0.016274690628051758
44,7,1,12,10,1,-0.5253223199045085,3,0.01701807975769043
45,7,1,12,10,2,-0.6559766763848397,2,0.01761341094970703
46,7,1,12,10,1,-0.532374692098152,3,0.016886472702026367
47,7,1,12,10,2,-0.9154518950437317,1,0.016424179077148438
48,7,2,7,10,1,-0.33417600978488876,5,0.008556127548217773
49,7,2,7,10,2,-0.33417600978488876,5,0.008505105972290039
50,7,2,7,10,1,-0.31868383402562767,5,0.008232355117797852
51,7,2,7,10,2,-0.7872340425531915,0,0.007508516311645508
52,7,2,7,10,1,-0.3115985616022585,5,0.008047342300415039
53,7,2,7,10,2,-0.7872340425531915,0,0.0075037479400634766
54,7,2,7,10,1,-0.3139042305463879,5,0.00850534439086914
55,7,2,7,10,2,-0.7872340425531915,0,0.007504701614379883
56,7,2,8,10,1,-0.319507908472377,5,0.0065038204193115234
57,7,2,8,10,2,-0.319507908472377,5,0.009633779525756836
58,7,2,8,10,1,-0.3146838490541832,5,0.010504961013793945
59,7,2,8,10,2,-0.9945205479452055,0,0.009505510330200195
60,7,2,8,10,1,-0.40273972602739727,3,0.009504556655883789
61,7,2,8,10,2,-0.6575342465753424,2,0.008699893951416016
62,7,2,8,10,1,-0.31444487872280874,5,0.01055455207824707
63,7,2,8,10,2,-0.9945205479452055,0,0.00961613655090332
64,7,2,9,10,1,-0.32450719178246756,5,0.012510061264038086
65,7,2,9,10,2,-0.32450719178246756,5,0.011742353439331055
66,7,2,9,10,1,-0.3106424445343652,5,0.01268315315246582
67,7,2,9,10,2,-0.9863013698630136,0,0.010509252548217773
68,7,2,9,10,1,-0.39999999999999997,3,0.011337995529174805
69,7,2,9,10,2,-0.6493150684931506,2,0.011518716812133789
70,7,2,9,10,1,-0.31038395899378135,5,0.012013912200927734
71,7,2,9,10,2,-0.9863013698630136,0,0.010625123977661133
72,7,2,10,10,1,-0.3902566423068893,6,0.01403045654296875
73,7,2,10,10,2,-0.7917440891665036,1,0.012728691101074219
74,7,2,10,10,1,-0.37436842598391196,6,0.01481008529663086
75,7,2,10,10,2,-0.8216783216783217,0,0.01301431655883789
76,7,2,10,10,1,-0.5104895104895104,3,0.012964725494384766
77,7,2,10,10,2,-0.8216783216783217,0,0.012087821960449219
78,7,2,10,10,1,-0.37600468374986784,6,0.013515472412109375
79,7,2,10,10,2,-0.658490992699144,1,0.011505126953125
80,7,2,11,10,1,-0.31719393884080826,5,0.013505697250366211
81,7,2,11,10,2,-0.31719393884080826,5,0.013747930526733398
82,7,2,11,10,1,-0.3221213811415713,5,0.015017271041870117
83,7,2,11,10,2,-0.9420289855072465,0,0.014412879943847656
84,7,2,11,10,1,-0.31668141192430155,5,0.014910459518432617
85,7,2,11,10,2,-0.6840579710144927,2,0.014536142349243164
86,7,2,11,10,1,-0.3544755190916242,4,0.015147686004638672
87,7,2,11,10,2,-0.9420289855072465,0,0.013828039169311523
88,7,2,12,10,1,-0.31776857608639736,4,0.016460657119750977
89,7,2,12,10,2,-0.3177685760863974,4,0.01479339599609375
90,7,2,12,10,1,-0.33050467714517207,4,0.017505884170532227
91,7,2,12,10,2,-0.9154518950437317,0,0.016742467880249023
92,7,2,12,10,1,-0.3183643595624714,4,0.018237829208374023
93,7,2,12,10,2,-0.6559766763848397,2,0.017013072967529297
94,7,2,12,10,1,-0.3393938554810195,4,0.01720714569091797
95,7,2,12,10,2,-0.9154518950437317,1,0.01556539535522461
96,7,3,7,10,1,-0.2635233848326669,7,0.00850534439086914
97,7,3,7,10,2,-0.2635233848326669,7,0.009510040283203125
98,7,3,7,10,1,-0.25002169732718194,6,0.009032726287841797
99,7,3,7,10,2,-0.7872340425531915,0,0.00850534439086914
100,7,3,7,10,1,-0.27864940804173954,5,0.008519172668457031
101,7,3,7,10,2,-0.7872340425531915,0,0.007512569427490234
102,7,3,7,10,1,-0.2772891986250303,5,0.008127689361572266
103,7,3,7,10,2,-0.7872340425531915,0,0.0071179866790771484
104,7,3,8,10,1,-0.2375232467383384,8,0.010524511337280273
105,7,3,8,10,2,-0.2883463708603767,6,0.010205984115600586
106,7,3,8,10,1,-0.22700428919556248,8,0.009505271911621094
107,7,3,8,10,2,-0.9945205479452055,0,0.00950479507446289
108,7,3,8,10,1,-0.40273972602739727,3,0.010510444641113281
109,7,3,8,10,2,-0.6575342465753424,2,0.009505510330200195
110,7,3,8,10,1,-0.22815605207305056,7,0.010510683059692383
111,7,3,8,10,2,-0.9945205479452055,0,0.008541107177734375
112,7,3,9,10,1,-0.23395677167361875,7,0.0128631591796875
113,7,3,9,10,2,-0.2910411967562681,5,0.01175379753112793
114,7,3,9,10,1,-0.22333471089647375,7,0.01302647590637207
115,7,3,9,10,2,-0.9863013698630136,0,0.011505603790283203
116,7,3,9,10,1,-0.39999999999999997,3,0.011009454727172852
117,7,3,9,10,2,-0.6493150684931506,2,0.011603593826293945
118,7,3,9,10,1,-0.22680707437842978,7,0.012520313262939453
119,7,3,9,10,2,-0.9863013698630136,0,0.011009931564331055
120,7,3,10,10,1,-0.29148806522231496,8,0.014222860336303711
121,7,3,10,10,2,-0.7917440891665036,1,0.012663602828979492
122,7,3,10,10,1,-0.29097079804279824,8,0.015113592147827148
123,7,3,10,10,2,-0.8216783216783217,0,0.012634754180908203
124,7,3,10,10,1,-0.5104895104895104,3,0.014797687530517578
125,7,3,10,10,2,-0.8216783216783217,0,0.013337135314941406
126,7,3,10,10,1,-0.29143618889379297,8,0.015718698501586914
127,7,3,10,10,2,-0.658490992699144,1,0.012566089630126953
128,7,3,11,10,1,-0.2463083396434734,6,0.015197992324829102
129,7,3,11,10,2,-0.26704545454545453,5,0.014322280883789062
130,7,3,11,10,1,-0.2697002175154676,5,0.01602029800415039
131,7,3,11,10,2,-0.9420289855072465,0,0.015070199966430664
132,7,3,11,10,1,-0.2566917928119568,5,0.015723705291748047
133,7,3,11,10,2,-0.6840579710144927,2,0.015014171600341797
134,7,3,11,10,1,-0.27059152843929485,5,0.016020536422729492
135,7,3,11,10,2,-0.9420289855072465,0,0.015015125274658203
136,7,3,12,10,1,-0.22638152005945886,6,0.017023801803588867
137,7,3,12,10,2,-0.27034883720930236,4,0.01600956916809082
138,7,3,12,10,1,-0.21678355607197,6,0.019022703170776367
139,7,3,12,10,2,-0.9154518950437317,0,0.01802659034729004
140,7,3,12,10,1,-0.2658961246904454,4,0.018576383590698242
141,7,3,12,10,2,-0.6559766763848397,2,0.018459081649780273
142,7,3,12,10,1,-0.27113702623906705,4,0.018017053604125977
143,7,3,12,10,2,-0.9154518950437317,1,0.018117427825927734
144,8,1,7,10,1,-0.5109827594175502,3,0.00536036491394043
145,8,1,7,10,2,-0.5109827594175502,3,0.00751185417175293
146,8,1,7,10,1,-0.420216155702044,4,0.00757288932800293
147,8,1,7,10,2,-0.420216155702044,4,0.008174657821655273
148,8,1,7,10,1,-0.5433835292520426,3,0.007662057876586914
149,8,1,7,10,2,-0.5433835292520426,3,0.008526325225830078
150,8,1,7,10,1,-0.43289105864648164,4,0.007655620574951172
151,8,1,7,10,2,-0.43289105864648164,4,0.00409245491027832
152,8,1,8,10,1,-0.5062107321301194,3,0.009523153305053711
153,8,1,8,10,2,-0.5062107321301194,3,0.009737968444824219
154,8,1,8,10,1,-0.5347412318094311,3,0.009505271911621094
155,8,1,8,10,2,-0.5347412318094311,3,0.00954747200012207
156,8,1,8,10,1,-0.5279384558534381,3,0.009505271911621094
157,8,1,8,10,2,-0.5279384558534381,3,0.009691953659057617
158,8,1,8,10,1,-0.505785430157202,3,0.009020566940307617
159,8,1,8,10,2,-0.505785430157202,3,0.009190559387207031
160,8,1,9,10,1,-0.502697440062158,3,0.008912324905395508
161,8,1,9,10,2,-0.502697440062158,3,0.011670351028442383
162,8,1,9,10,1,-0.5309392408600917,3,0.010588884353637695
163,8,1,9,10,2,-0.5309392408600917,3,0.010740995407104492
164,8,1,9,10,1,-0.5241889433548164,3,0.01056051254272461
165,8,1,9,10,2,-0.5241889433548164,3,0.011707305908203125
166,8,1,9,10,1,-0.5022595137731136,3,0.010512113571166992
167,8,1,9,10,2,-0.5022595137731136,3,0.011700153350830078
168,8,1,10,10,1,-0.47235283434720654,4,0.012861967086791992
169,8,1,10,10,2,-0.47235283434720654,4,0.009928226470947266
170,8,1,10,10,1,-0.46533993592036665,4,0.01191568374633789
171,8,1,10,10,2,-0.46533993592036665,4,0.012560129165649414
172,8,1,10,10,1,-0.5104895104895104,3,0.012504816055297852
173,8,1,10,10,2,-0.5104895104895104,3,0.012965202331542969
174,8,1,10,10,1,-0.455851453242853,4,0.013009309768676758
175,8,1,10,10,2,-0.455851453242853,4,0.011752128601074219
176,8,1,11,10,1,-0.4278137856782717,4,0.012955188751220703
177,8,1,11,10,2,-0.4278137856782717,4,0.01262664794921875
178,8,1,11,10,1,-0.5400167787012258,3,0.014525890350341797
179,8,1,11,10,2,-0.5400167787012258,3,0.015091180801391602
180,8,1,11,10,1,-0.4301148515025393,4,0.014642715454101562
181,8,1,11,10,2,-0.4301148515025393,4,0.015488147735595703
182,8,1,11,10,1,-0.5517574473206547,3,0.014015674591064453
183,8,1,11,10,2,-0.5517574473206547,3,0.015078067779541016
184,8,1,12,10,1,-0.5158283864649198,3,0.014839887619018555
