,num_timesteps,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,7,7,7,1,1,0.012000083923339844,0.9654255319148937,18,7,14,7
1,7,7,7,1,2,0.01711106300354004,0.9654255319148937,18,7,14,7
2,7,7,7,1,3,0.008003473281860352,0.7872340425531915,18,7,14,7
3,7,7,7,1,4,0.01908564567565918,0.7872340425531915,18,7,14,7
4,7,7,7,1,5,0.02539539337158203,0.4404761904761905,18,7,14,7
5,7,7,7,1,6,0.021746158599853516,0.43363574726374593,18,7,14,7
6,7,7,7,1,7,0.01595282554626465,0.43351063829787234,18,7,14,7
7,7,7,7,1,8,0.03145194053649902,0.43351063829787234,18,7,14,7
8,7,7,7,1,9,0.02441263198852539,0.3670212765957447,18,7,14,7
9,7,7,7,1,10,0.04792976379394531,0.164820707172246,18,7,14,7
10,7,7,7,1,11,0.03184700012207031,0.29917179030822755,18,7,14,7
11,7,7,7,1,12,0.02741074562072754,0.13695522533457258,18,7,14,7
12,7,7,7,1,13,0.03787875175476074,0.13628677514723017,18,7,14,7
13,7,7,7,1,14,0.029855728149414062,0.37234042553191493,18,7,14,7
14,7,7,7,1,15,0.015738248825073242,0.25031865869202863,18,7,14,7
15,7,7,7,1,16,0.057775259017944336,0.05862689403329155,18,7,14,7
16,7,7,7,1,17,0.03798699378967285,0.045486026245805555,18,7,14,7
17,7,7,7,1,18,0.09080004692077637,8.326672684688674e-17,18,7,14,7
18,7,7,7,2,1,0.01823282241821289,0.9654255319148937,23,6,21,7
19,7,7,7,2,2,0.016292095184326172,0.9654255319148937,23,6,21,7
20,7,7,7,2,3,0.01656651496887207,0.7872340425531915,23,6,21,7
21,7,7,7,2,4,0.020808696746826172,0.7872340425531915,23,6,21,7
22,7,7,7,2,5,0.014047861099243164,0.4404761904761905,23,6,21,7
23,7,7,7,2,6,0.048097848892211914,0.43363574726374593,23,6,21,7
24,7,7,7,2,7,0.03213238716125488,0.43351063829787234,23,6,21,7
25,7,7,7,2,8,0.028280019760131836,0.43351063829787234,23,6,21,7
26,7,7,7,2,9,0.034021615982055664,0.37234042553191493,23,6,21,7
27,7,7,7,2,10,0.020804882049560547,0.37234042553191493,23,6,21,7
28,7,7,7,2,11,0.02502584457397461,0.20113635435178623,23,6,21,7
29,7,7,7,2,12,0.020032167434692383,0.3670212765957447,23,6,21,7
30,7,7,7,2,13,0.03314852714538574,0.2225344949043903,23,6,21,7
31,7,7,7,2,14,0.02053356170654297,0.30851063829787234,23,6,21,7
32,7,7,7,2,15,0.01809072494506836,0.30851063829787234,23,6,21,7
33,7,7,7,2,16,0.032129764556884766,0.14509139447933234,23,6,21,7
34,7,7,7,2,17,0.023106813430786133,0.1435540569624796,23,6,21,7
35,7,7,7,2,18,0.029310941696166992,0.14094604915189732,23,6,21,7
36,7,7,7,2,19,0.03057265281677246,0.1402381752739723,23,6,21,7
37,7,7,7,2,20,0.04302334785461426,0.0700885120734383,23,6,21,7
38,7,7,7,2,21,0.038805484771728516,0.04636881389341915,23,6,21,7
39,7,7,7,2,22,0.029764652252197266,0.13701359721084397,23,6,21,7
40,7,7,7,2,23,0.03361034393310547,1.1102230246251565e-16,23,6,21,7
41,7,7,8,1,1,0.030241966247558594,0.9654255319148937,16,5,14,6
42,7,7,8,1,2,0.038759469985961914,0.9654255319148937,16,5,14,6
43,7,7,8,1,3,0.049859046936035156,0.7872340425531915,16,5,14,6
44,7,7,8,1,4,0.022287607192993164,0.7872340425531915,16,5,14,6
45,7,7,8,1,5,0.03387951850891113,0.4404761904761905,16,5,14,6
46,7,7,8,1,6,0.0315251350402832,0.43351063829787234,16,5,14,6
47,7,7,8,1,7,0.027898788452148438,0.43351063829787234,16,5,14,6
48,7,7,8,1,8,0.023221492767333984,0.3670212765957447,16,5,14,6
49,7,7,8,1,9,0.02599310874938965,0.3670212765957447,16,5,14,6
50,7,7,8,1,10,0.035335540771484375,0.15868843582033781,16,5,14,6
51,7,7,8,1,11,0.03655672073364258,0.1090351411418454,16,5,14,6
52,7,7,8,1,12,0.034177541732788086,0.30851063829787234,16,5,14,6
53,7,7,8,1,13,0.050254106521606445,0.07254569723966617,16,5,14,6
54,7,7,8,1,14,0.03418087959289551,0.0723577079150719,16,5,14,6
55,7,7,8,1,15,0.050490379333496094,0.14281981253944753,16,5,14,6
56,7,7,8,1,16,0.06206345558166504,1.1102230246251565e-16,16,5,14,6
57,7,7,8,2,1,0.035477638244628906,0.9654255319148937,5,2,4,3
58,7,7,8,2,2,0.05183863639831543,0.9654255319148937,5,2,4,3
59,7,7,8,2,3,0.01422262191772461,0.7872340425531915,5,2,4,3
60,7,7,8,2,4,0.038576364517211914,0.7872340425531915,5,2,4,3
61,7,7,8,2,5,0.01839303970336914,0.0,5,2,4,3
62,7,7,9,1,1,0.035248756408691406,0.9654255319148937,13,4,10,7
63,7,7,9,1,2,0.047540903091430664,0.9654255319148937,13,4,10,7
64,7,7,9,1,3,0.03156423568725586,0.7872340425531915,13,4,10,7
65,7,7,9,1,4,0.031961679458618164,0.7872340425531915,13,4,10,7
66,7,7,9,1,5,0.054505348205566406,0.4404761904761905,13,4,10,7
67,7,7,9,1,6,0.027952194213867188,0.43351063829787234,13,4,10,7
68,7,7,9,1,7,0.03662610054016113,0.43351063829787234,13,4,10,7
69,7,7,9,1,8,0.06359505653381348,0.3670212765957447,13,4,10,7
70,7,7,9,1,9,0.06323790550231934,0.3670212765957447,13,4,10,7
