,num_timesteps,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,7,7,7,1,1,0.015049934387207031,0.9654255319148937,16,4,14,7
1,7,7,7,1,2,0.013000249862670898,0.9654255319148937,16,4,14,7
2,7,7,7,1,3,0.10419535636901855,0.7872340425531915,16,4,14,7
3,7,7,7,1,4,0.023470640182495117,0.7872340425531915,16,4,14,7
4,7,7,7,1,5,0.03281807899475098,0.4336357472637459,16,4,14,7
5,7,7,7,1,6,0.012633323669433594,0.43351063829787234,16,4,14,7
6,7,7,7,1,7,0.010291337966918945,0.43351063829787234,16,4,14,7
7,7,7,7,1,8,0.015679597854614258,0.37234042553191493,16,4,14,7
8,7,7,7,1,9,0.015923500061035156,0.37234042553191493,16,4,14,7
9,7,7,7,1,10,0.01596808433532715,0.3670212765957447,16,4,14,7
10,7,7,7,1,11,0.031948089599609375,0.31026201035640094,16,4,14,7
11,7,7,7,1,12,0.02097177505493164,0.27257355029446,16,4,14,7
12,7,7,7,1,13,0.019974231719970703,0.23000346463283203,16,4,14,7
13,7,7,7,1,14,0.018462657928466797,0.22164841974798596,16,4,14,7
14,7,7,7,1,15,0.019080638885498047,0.09487733542203253,16,4,14,7
15,7,7,7,1,16,0.007981300354003906,2.7755575615628914e-17,16,4,14,7
16,7,7,7,2,1,0.02552628517150879,0.9654255319148937,17,4,15,7
17,7,7,7,2,2,0.035546064376831055,0.9654255319148937,17,4,15,7
18,7,7,7,2,3,0.025392770767211914,0.7872340425531915,17,4,15,7
19,7,7,7,2,4,0.040140390396118164,0.7872340425531915,17,4,15,7
20,7,7,7,2,5,0.017949581146240234,0.4336357472637459,17,4,15,7
21,7,7,7,2,6,0.011421442031860352,0.43351063829787234,17,4,15,7
22,7,7,7,2,7,0.03178715705871582,0.43351063829787234,17,4,15,7
23,7,7,7,2,8,0.04233264923095703,0.37234042553191493,17,4,15,7
24,7,7,7,2,9,0.028110027313232422,0.37234042553191493,17,4,15,7
25,7,7,7,2,10,0.032082319259643555,0.20734657923143432,17,4,15,7
26,7,7,7,2,11,0.031614065170288086,0.3670212765957447,17,4,15,7
27,7,7,7,2,12,0.015747785568237305,0.15868843582033781,17,4,15,7
28,7,7,7,2,13,0.01575946807861328,0.3102620103564008,17,4,15,7
29,7,7,7,2,14,0.04600119590759277,0.16145400020425546,17,4,15,7
30,7,7,7,2,15,0.03356528282165527,0.30851063829787234,17,4,15,7
31,7,7,7,2,16,0.048865556716918945,0.14666201549477545,17,4,15,7
32,7,7,7,2,17,0.031941890716552734,5.551115123125783e-17,17,4,15,7
33,7,7,8,1,1,0.04166817665100098,0.9654255319148937,14,3,12,6
34,7,7,8,1,2,0.042292118072509766,0.9654255319148937,14,3,12,6
35,7,7,8,1,3,0.04181075096130371,0.7872340425531915,14,3,12,6
36,7,7,8,1,4,0.04863476753234863,0.7872340425531915,14,3,12,6
37,7,7,8,1,5,0.038379669189453125,0.4404761904761905,14,3,12,6
38,7,7,8,1,6,0.022977352142333984,0.43363574726374593,14,3,12,6
39,7,7,8,1,7,0.04685783386230469,0.43351063829787234,14,3,12,6
40,7,7,8,1,8,0.024425745010375977,0.43351063829787234,14,3,12,6
41,7,7,8,1,9,0.030863285064697266,0.3670212765957447,14,3,12,6
42,7,7,8,1,10,0.04572176933288574,0.3670212765957447,14,3,12,6
43,7,7,8,1,11,0.04813241958618164,0.32964141434449207,14,3,12,6
44,7,7,8,1,12,0.03362631797790527,0.02894822231493066,14,3,12,6
45,7,7,8,1,13,0.02933025360107422,0.30851063829787234,14,3,12,6
46,7,7,8,1,14,0.021714448928833008,5.551115123125783e-17,14,3,12,6
47,7,7,8,2,1,0.04084181785583496,0.9654255319148937,2,1,2,2
48,7,7,8,2,2,0.03807640075683594,0.0,2,1,2,2
49,7,7,9,1,1,0.04076719284057617,0.9654255319148937,11,4,9,6
50,7,7,9,1,2,0.042867422103881836,0.9654255319148937,11,4,9,6
51,7,7,9,1,3,0.038542747497558594,0.7872340425531915,11,4,9,6
52,7,7,9,1,4,0.04802227020263672,0.7872340425531915,11,4,9,6
53,7,7,9,1,5,0.031912803649902344,0.4404761904761905,11,4,9,6
54,7,7,9,1,6,0.03198838233947754,0.43351063829787234,11,4,9,6
55,7,7,9,1,7,0.03541278839111328,0.43351063829787234,11,4,9,6
56,7,7,9,1,8,0.019936800003051758,0.3670212765957447,11,4,9,6
57,7,7,9,1,9,0.06274938583374023,0.15868843582033781,11,4,9,6
58,7,7,9,1,10,0.047690629959106445,0.30851063829787234,11,4,9,6
59,7,7,9,1,11,0.06372833251953125,0.0,11,4,9,6
60,7,7,9,2,1,0.03702235221862793,0.7872340425531915,11,5,10,6
61,7,7,9,2,2,0.047369956970214844,0.7872340425531915,11,5,10,6
62,7,7,9,2,3,0.04796481132507324,0.4404761904761905,11,5,10,6
63,7,7,9,2,4,0.053780555725097656,0.43351063829787234,11,5,10,6
64,7,7,9,2,5,0.026353836059570312,0.43351063829787234,11,5,10,6
65,7,7,9,2,6,0.024525165557861328,0.37234042553191493,11,5,10,6
66,7,7,9,2,7,0.032289981842041016,0.20734657923143432,11,5,10,6
67,7,7,9,2,8,0.016160964965820312,0.3670212765957447,11,5,10,6
68,7,7,9,2,9,0.02863335609436035,0.15868843582033776,11,5,10,6
69,7,7,9,2,10,0.029407501220703125,0.20838418563106534,11,5,10,6
70,7,7,9,2,11,0.05303621292114258,5.551115123125783e-17,11,5,10,6
