,seed,num_timesteps,num_attackers,num_defenders,num_clusters,dims,force_return,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,1,8,1,1,10,7,False,1,1,0.01862502098083496,0.7480194536056324,11,4,8,6
1,1,8,1,1,10,7,False,1,2,0.018080472946166992,0.7480194536056324,11,4,8,6
2,1,8,1,1,10,7,False,1,3,0.02173304557800293,0.5789363106476968,11,4,8,6
3,1,8,1,1,10,7,False,1,4,0.012169837951660156,0.5789363106476968,11,4,8,6
4,1,8,1,1,10,7,False,1,5,0.023555517196655273,0.18415545973532504,11,4,8,6
5,1,8,1,1,10,7,False,1,6,0.034423828125,0.27479660322470345,11,4,8,6
6,1,8,1,1,10,7,False,1,7,0.019687175750732422,0.479729247289293,11,4,8,6
7,1,8,1,1,10,7,False,1,8,0.027942419052124023,0.05305495925454651,11,4,8,6
8,1,8,1,1,10,7,False,1,9,0.01622629165649414,0.41971719049439354,11,4,8,6
9,1,8,1,1,10,7,False,1,10,0.02061319351196289,0.19569998565959862,11,4,8,6
10,1,8,1,1,10,7,False,1,11,0.024396896362304688,5.551115123125783e-17,11,4,8,6
11,2,8,1,1,10,7,False,1,1,0.016048908233642578,0.8875960730370515,10,3,9,5
12,2,8,1,1,10,7,False,1,2,0.01180887222290039,0.8875960730370515,10,3,9,5
13,2,8,1,1,10,7,False,1,3,0.017146587371826172,0.23273383294460775,10,3,9,5
14,2,8,1,1,10,7,False,1,4,0.008973121643066406,0.7029594737560723,10,3,9,5
15,2,8,1,1,10,7,False,1,5,0.0316617488861084,0.2817539746345036,10,3,9,5
16,2,8,1,1,10,7,False,1,6,0.028500080108642578,0.23381980267396546,10,3,9,5
17,2,8,1,1,10,7,False,1,7,0.015558004379272461,0.2815081529610641,10,3,9,5
18,2,8,1,1,10,7,False,1,8,0.015331745147705078,0.5334253322911658,10,3,9,5
19,2,8,1,1,10,7,False,1,9,0.025597572326660156,0.10156872463994898,10,3,9,5
