,num_timesteps,iteration_number,iteration_times,gaps,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,6,0,0.010709762573242188,0.8216783216783219,8,4,7,4
1,6,1,0.010713577270507812,0.8216783216783219,8,4,7,4
2,6,2,0.012917041778564453,0.2762170650846274,8,4,7,4
3,6,3,0.012539386749267578,0.7272727272727273,8,4,7,4
4,6,4,0.014676094055175781,0.2783947875018511,8,4,7,4
5,6,5,0.011595010757446289,0.05943384830141052,8,4,7,4
6,6,6,0.007755756378173828,0.5104895104895104,8,4,7,4
7,6,7,0.010899543762207031,0.0,8,4,7,4
8,7,0,0.01332545280456543,1.5489510489510492,11,5,9,11
9,7,1,0.016495704650878906,0.8216783216783219,11,5,9,11
10,7,2,0.014695167541503906,0.7403639667419194,11,5,9,11
11,7,3,0.014126777648925781,0.2507258084875412,11,5,9,11
12,7,4,0.0172576904296875,0.6377204884667572,11,5,9,11
13,7,5,0.0176393985748291,0.4404878746984008,11,5,9,11
14,7,6,0.012073993682861328,0.11647176353058708,11,5,9,11
15,7,7,0.012849569320678711,0.32121560267816684,11,5,9,11
16,7,8,0.013544321060180664,0.02860792275007784,11,5,9,11
17,7,9,0.016118526458740234,0.10730341772872898,11,5,9,11
18,7,10,0.01655888557434082,0.0,11,5,9,11
19,8,0,0.014308691024780273,1.5489510489510492,11,5,10,10
20,8,1,0.02561664581298828,0.8216783216783219,11,5,10,10
21,8,2,0.029915332794189453,0.7403639667419194,11,5,10,10
22,8,3,0.025465011596679688,0.25311782080735135,11,5,10,10
23,8,4,0.012945175170898438,1.332167832167832,11,5,10,10
24,8,5,0.03038501739501953,0.6639984899866419,11,5,10,10
25,8,6,0.05592489242553711,0.1515815241322177,11,5,10,10
26,8,7,0.01864790916442871,0.39320328794013004,11,5,10,10
27,8,8,0.01957988739013672,0.21846139230386075,11,5,10,10
28,8,9,0.029131174087524414,0.11105430718161402,11,5,10,10
29,8,10,0.05832195281982422,0.0,11,5,10,10
30,9,0,0.017017841339111328,1.5489510489510492,13,8,13,13
31,9,1,0.023021936416625977,1.5489510489510492,13,8,13,13
32,9,2,0.030626773834228516,0.7999989776305567,13,8,13,13
33,9,3,0.02092719078063965,0.9008519320323328,13,8,13,13
34,9,4,0.018123865127563477,0.7097654319764057,13,8,13,13
35,9,5,0.03083062171936035,0.45945288147122976,13,8,13,13
36,9,6,0.02973175048828125,0.5918325389685547,13,8,13,13
37,9,7,0.03059840202331543,0.47211319069829905,13,8,13,13
38,9,8,0.05400729179382324,0.1020987632444822,13,8,13,13
39,9,9,0.020087480545043945,0.4891007499126069,13,8,13,13
40,9,10,0.042191267013549805,0.17575762724062027,13,8,13,13
41,9,11,0.03626441955566406,0.214265118276126,13,8,13,13
42,9,12,0.03767132759094238,4.440892098500626e-16,13,8,13,13
43,10,0,0.01829361915588379,1.5489510489510492,17,7,16,16
44,10,1,0.022252798080444336,1.5489510489510492,17,7,16,16
45,10,2,0.03719210624694824,0.8328489069229809,17,7,16,16
46,10,3,0.04404735565185547,0.931542142068458,17,7,16,16
47,10,4,0.031943321228027344,0.9008519320323329,17,7,16,16
48,10,5,0.0839083194732666,0.45945288147123,17,7,16,16
49,10,6,0.07374691963195801,0.6299942515246046,17,7,16,16
50,10,7,0.016883373260498047,0.9228957967965197,17,7,16,16
51,10,8,0.10913729667663574,0.39127634038815584,17,7,16,16
52,10,9,0.08643770217895508,0.28907684399348904,17,7,16,16
53,10,10,0.09012866020202637,0.261411645218514,17,7,16,16
54,10,11,0.10063600540161133,0.20339893613267557,17,7,16,16
55,10,12,0.09315919876098633,0.21209455077985645,17,7,16,16
56,10,13,0.08400726318359375,0.02208493518854704,17,7,16,16
57,10,14,0.10361337661743164,0.01714822271147176,17,7,16,16
58,10,15,0.1061553955078125,0.06442975691525887,17,7,16,16
59,10,16,0.09317636489868164,0.0,17,7,16,16
60,11,0,0.024573326110839844,1.332167832167832,16,9,16,16
61,11,1,0.03624725341796875,1.332167832167832,16,9,16,16
62,11,2,0.02805352210998535,0.9524236776439419,16,9,16,16
63,11,3,0.022530794143676758,1.202797202797203,16,9,16,16
64,11,4,0.11293792724609375,0.6201860793831285,16,9,16,16
65,11,5,0.05502438545227051,0.8657491124668231,16,9,16,16
66,11,6,0.05173087120056152,0.5077375603877106,16,9,16,16
67,11,7,0.033528804779052734,0.3819979801913248,16,9,16,16
68,11,8,0.09404563903808594,0.39709395607780695,16,9,16,16
69,11,9,0.11960315704345703,0.3020869795333867,16,9,16,16
70,11,10,0.10470032691955566,0.22961151296979704,16,9,16,16
71,11,11,0.12613701820373535,0.2608327178487872,16,9,16,16
72,11,12,0.13202810287475586,0.23585773216454098,16,9,16,16
73,11,13,0.16560077667236328,0.1156725719438505,16,9,16,16
74,11,14,0.1332700252532959,0.2929247906980829,16,9,16,16
75,11,15,0.1405942440032959,2.220446049250313e-16,16,9,16,16
76,12,0,0.037355899810791016,1.5489510489510492,17,9,17,16
77,12,1,0.026784658432006836,1.5489510489510492,17,9,17,16
78,12,2,0.03009486198425293,0.9860139860139859,17,9,17,16
79,12,3,0.01987743377685547,0.9860139860139859,17,9,17,16
80,12,4,0.03500938415527344,0.7157113590982564,17,9,17,16
81,12,5,0.1927635669708252,0.42340969375452137,17,9,17,16
82,12,6,0.028583049774169922,0.46904186859040115,17,9,17,16
83,12,7,0.17354631423950195,0.4978713441018068,17,9,17,16
84,12,8,0.17158913612365723,0.3948334111499904,17,9,17,16
85,12,9,0.18195819854736328,0.28267385548166946,17,9,17,16
86,12,10,0.1573350429534912,0.3242998146908673,17,9,17,16
87,12,11,0.15225481986999512,0.35852719496521135,17,9,17,16
88,12,12,0.11008930206298828,0.39805509170065057,17,9,17,16
89,12,13,0.2254035472869873,0.19434332573441498,17,9,17,16
90,12,14,0.20169830322265625,0.1379171369018934,17,9,17,16
91,12,15,0.14153218269348145,0.2421395303194807,17,9,17,16
92,12,16,0.19187188148498535,4.440892098500626e-16,17,9,17,16
93,13,0,0.041802167892456055,1.332167832167832,20,9,19,20
94,13,1,0.04395914077758789,1.332167832167832,20,9,19,20
95,13,2,0.024831295013427734,0.9524236776439419,20,9,19,20
96,13,3,0.02970290184020996,1.202797202797203,20,9,19,20
97,13,4,0.22748112678527832,0.7888094018435646,20,9,19,20
98,13,5,0.02524089813232422,0.793077026405419,20,9,19,20
99,13,6,0.03957009315490723,0.823539509586021,20,9,19,20
100,13,7,0.22889041900634766,0.4362170408950585,20,9,19,20
101,13,8,0.030302047729492188,0.7452577651147092,20,9,19,20
102,13,9,0.23335814476013184,0.5257752551271315,20,9,19,20
103,13,10,0.22031354904174805,0.365228416954795,20,9,19,20
104,13,11,0.2415142059326172,0.17081687866860895,20,9,19,20
105,13,12,0.22306442260742188,0.27147601254283604,20,9,19,20
106,13,13,0.20875835418701172,0.2033591905203832,20,9,19,20
107,13,14,0.21899700164794922,0.2494091342460807,20,9,19,20
108,13,15,0.22525405883789062,0.13191793772203042,20,9,19,20
109,13,16,0.22264575958251953,0.0941851220589327,20,9,19,20
110,13,17,0.22496581077575684,0.10599863998110526,20,9,19,20
111,13,18,0.23120784759521484,0.08478037762691576,20,9,19,20
112,13,19,0.2644360065460205,1.6653345369377348e-16,20,9,19,20
113,14,0,0.04604291915893555,1.332167832167832,23,9,22,22
114,14,1,0.044226884841918945,1.332167832167832,23,9,22,22
115,14,2,0.03276658058166504,0.9524236776439419,23,9,22,22
116,14,3,0.024096012115478516,1.202797202797203,23,9,22,22
117,14,4,0.298628568649292,0.7888094018435646,23,9,22,22
118,14,5,0.0575566291809082,0.793077026405419,23,9,22,22
119,14,6,0.05222821235656738,0.823539509586021,23,9,22,22
120,14,7,0.22068476676940918,0.6237514540889326,23,9,22,22
121,14,8,0.03185558319091797,0.7424517739478369,23,9,22,22
122,14,9,0.3653240203857422,0.4607808863024595,23,9,22,22
123,14,10,0.3825552463531494,0.3053705598971079,23,9,22,22
124,14,11,0.34494805335998535,0.30126437092463526,23,9,22,22
125,14,12,0.32883453369140625,0.34458085498988267,23,9,22,22
126,14,13,0.29799938201904297,0.4036451272302572,23,9,22,22
127,14,14,0.3782541751861572,0.2583833965808104,23,9,22,22
128,14,15,0.3895406723022461,0.14300079488755696,23,9,22,22
129,14,16,0.432513952255249,0.11600407606390895,23,9,22,22
130,14,17,0.3608367443084717,0.11305420217230372,23,9,22,22
131,14,18,0.12267327308654785,0.21588283690125407,23,9,22,22
132,14,19,0.42769885063171387,0.0860914733088497,23,9,22,22
133,14,20,0.4408142566680908,0.14307364110975956,23,9,22,22
134,14,21,0.4812593460083008,0.06052260831579154,23,9,22,22
135,14,22,0.36366796493530273,5.551115123125783e-17,23,9,22,22
136,15,0,0.03684043884277344,1.332167832167832,19,9,18,18
137,15,1,0.028716325759887695,1.332167832167832,19,9,18,18
138,15,2,0.02528667449951172,0.8965027263485414,19,9,18,18
139,15,3,0.027004718780517578,1.202797202797203,19,9,18,18
140,15,4,0.03452897071838379,0.7720665541355197,19,9,18,18
141,15,5,0.028474807739257812,0.693048588135378,19,9,18,18
142,15,6,0.21529912948608398,0.6250909642803651,19,9,18,18
143,15,7,0.06957340240478516,0.7404987545249906,19,9,18,18
144,15,8,0.03481888771057129,0.5901682912343755,19,9,18,18
145,15,9,0.05739903450012207,0.5875353190685881,19,9,18,18
146,15,10,0.5578463077545166,0.2159358232246824,19,9,18,18
147,15,11,0.373110294342041,0.31133974844707724,19,9,18,18
148,15,12,0.3226478099822998,0.27328144166981744,19,9,18,18
149,15,13,0.3993411064147949,0.16665731729956884,19,9,18,18
150,15,14,0.3961639404296875,0.2412843770465611,19,9,18,18
151,15,15,0.4914083480834961,0.21797608930508747,19,9,18,18
152,15,16,0.5912885665893555,0.1718637182205265,19,9,18,18
153,15,17,0.5149276256561279,0.06836583037226429,19,9,18,18
154,15,18,0.547961950302124,2.220446049250313e-16,19,9,18,18
