,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,defender_utility,support,runtime
0,7,1,7,7,1,-0.5109827594175502,3,0.044647216796875
1,7,1,7,7,2,-0.5109827594175502,3,0.0075054168701171875
2,7,1,7,8,1,-0.420216155702044,4,0.01037144660949707
3,7,1,7,8,2,-0.7872340425531915,0,0.006608486175537109
4,7,1,7,9,1,-0.5433835292520426,3,0.0075244903564453125
5,7,1,7,9,2,-0.7872340425531915,0,0.00700831413269043
6,7,1,7,10,1,-0.43289105864648164,4,0.008089780807495117
7,7,1,7,10,2,-0.7872340425531915,0,0.008029937744140625
8,7,1,8,7,1,-0.5062107321301194,3,0.009137630462646484
9,7,1,8,7,2,-0.5062107321301194,3,0.009090900421142578
10,7,1,8,8,1,-0.5347412318094311,3,0.009257793426513672
11,7,1,8,8,2,-0.9945205479452055,0,0.008500099182128906
12,7,1,8,9,1,-0.5279384558534381,3,0.009613513946533203
13,7,1,8,9,2,-0.6575342465753424,2,0.009527444839477539
14,7,1,8,10,1,-0.505785430157202,3,0.009509801864624023
15,7,1,8,10,2,-0.9945205479452055,0,0.008018255233764648
16,7,1,9,7,1,-0.502697440062158,3,0.011662006378173828
17,7,1,9,7,2,-0.502697440062158,3,0.010728120803833008
18,7,1,9,8,1,-0.5309392408600917,3,0.011678934097290039
19,7,1,9,8,2,-0.9863013698630136,0,0.01057744026184082
20,7,1,9,9,1,-0.5241889433548164,3,0.012173175811767578
21,7,1,9,9,2,-0.6493150684931506,2,0.011510372161865234
22,7,1,9,10,1,-0.5022595137731136,3,0.01109766960144043
23,7,1,9,10,2,-0.9863013698630136,0,0.010505199432373047
24,7,1,10,7,1,-0.47235283434720654,4,0.012791156768798828
25,7,1,10,7,2,-0.7917440891665036,1,0.008670568466186523
26,7,1,10,8,1,-0.46533993592036665,4,0.014105558395385742
27,7,1,10,8,2,-0.8216783216783217,0,0.008720874786376953
28,7,1,10,9,1,-0.5104895104895104,3,0.013052225112915039
29,7,1,10,9,2,-0.8216783216783217,0,0.012661218643188477
30,7,1,10,10,1,-0.455851453242853,4,0.009509801864624023
31,7,1,10,10,2,-0.658490992699144,1,0.009567022323608398
32,7,1,11,7,1,-0.4278137856782717,4,0.012505292892456055
33,7,1,11,7,2,-0.4278137856782717,4,0.013037443161010742
34,7,1,11,8,1,-0.5400167787012258,3,0.014826536178588867
35,7,1,11,8,2,-0.9420289855072465,0,0.014097452163696289
36,7,1,11,9,1,-0.4301148515025393,4,0.010568380355834961
37,7,1,11,9,2,-0.6840579710144927,2,0.014475107192993164
38,7,1,11,10,1,-0.5517574473206547,3,0.015017509460449219
39,7,1,11,10,2,-0.9420289855072465,0,0.0145263671875
40,7,1,12,7,1,-0.5158283864649198,3,0.014735221862792969
41,7,1,12,7,2,-0.5158283864649198,3,0.01401519775390625
42,7,1,12,8,1,-0.5340616171447686,3,0.00950479507446289
43,7,1,12,8,2,-0.9154518950437317,0,0.015510320663452148
44,7,1,12,9,1,-0.5253223199045085,3,0.016073942184448242
45,7,1,12,9,2,-0.6559766763848397,2,0.016601085662841797
46,7,1,12,10,1,-0.532374692098152,3,0.01673746109008789
47,7,1,12,10,2,-0.9154518950437317,1,0.008636713027954102
48,7,2,7,7,1,-0.33417600978488876,5,0.008041143417358398
49,7,2,7,7,2,-0.33417600978488876,5,0.0075109004974365234
50,7,2,7,8,1,-0.31868383402562767,5,0.008843421936035156
