,seed,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,1,8,2,10,7,1,1,0.011555671691894531,0.44561810251281764,6,1,4,3
1,1,8,2,10,7,1,2,0.0020117759704589844,0.5564578193811776,6,1,4,3
2,1,8,2,10,7,1,3,0.0021491050720214844,0.2931217059007728,6,1,4,3
3,1,8,2,10,7,1,4,0.0032210350036621094,0.03392664362849007,6,1,4,3
4,1,8,2,10,7,1,5,0.0020062923431396484,0.031977037532782804,6,1,4,3
5,1,8,2,10,7,1,6,0.003010988235473633,0.0,6,1,4,3
6,2,8,2,10,7,1,1,0.0020716190338134766,0.4039502794877793,16,5,13,6
7,2,8,2,10,7,1,2,0.003008127212524414,0.6275310784527799,16,5,13,6
8,2,8,2,10,7,1,3,0.0020132064819335938,0.39678532727536475,16,5,13,6
9,2,8,2,10,7,1,4,0.0030138492584228516,0.5285491005215592,16,5,13,6
10,2,8,2,10,7,1,5,0.003000497817993164,0.33761413952614927,16,5,13,6
11,2,8,2,10,7,1,6,0.004107475280761719,0.4397275885701319,16,5,13,6
12,2,8,2,10,7,1,7,0.0030260086059570312,0.29270281656812713,16,5,13,6
13,2,8,2,10,7,1,8,0.003060579299926758,0.1208371791851699,16,5,13,6
14,2,8,2,10,7,1,9,0.0031464099884033203,0.09835191220351591,16,5,13,6
15,2,8,2,10,7,1,10,0.004016876220703125,0.09478912066750944,16,5,13,6
16,2,8,2,10,7,1,11,0.005274295806884766,0.11111443409318955,16,5,13,6
17,2,8,2,10,7,1,12,0.005108833312988281,0.4011496922808936,16,5,13,6
18,2,8,2,10,7,1,13,0.0030663013458251953,0.09286401611994105,16,5,13,6
19,2,8,2,10,7,1,14,0.004126071929931641,0.08164670092321658,16,5,13,6
20,2,8,2,10,7,1,15,0.0040187835693359375,0.04872465415052124,16,5,13,6
21,2,8,2,10,7,1,16,0.004119157791137695,1.1102230246251565e-16,16,5,13,6
22,3,8,2,10,7,1,1,0.001004934310913086,0.8373343534768054,6,2,4,3
23,3,8,2,10,7,1,2,0.002010345458984375,0.2951780665990311,6,2,4,3
24,3,8,2,10,7,1,3,0.004026651382446289,0.29194424981752587,6,2,4,3
25,3,8,2,10,7,1,4,0.0021314620971679688,0.20941847298735483,6,2,4,3
26,3,8,2,10,7,1,5,0.0020151138305664062,0.12250527920226872,6,2,4,3
27,3,8,2,10,7,1,6,0.0030159950256347656,0.0,6,2,4,3
28,4,8,2,10,7,1,1,0.0032868385314941406,0.1971696069491723,9,3,6,5
29,4,8,2,10,7,1,2,0.0020084381103515625,0.25956925356525196,9,3,6,5
30,4,8,2,10,7,1,3,0.002006053924560547,0.19028258642083928,9,3,6,5
31,4,8,2,10,7,1,4,0.002006053924560547,0.9348199367302134,9,3,6,5
32,4,8,2,10,7,1,5,0.0030770301818847656,0.18681299828846454,9,3,6,5
33,4,8,2,10,7,1,6,0.0020132064819335938,0.10600918452681474,9,3,6,5
34,4,8,2,10,7,1,7,0.0032033920288085938,0.19044929919163855,9,3,6,5
35,4,8,2,10,7,1,8,0.0030329227447509766,0.5043444081105805,9,3,6,5
36,4,8,2,10,7,1,9,0.003019094467163086,1.1102230246251565e-16,9,3,6,5
37,5,8,2,10,7,1,1,0.0010499954223632812,0.8097453435924129,11,4,9,5
38,5,8,2,10,7,1,2,0.002043008804321289,0.7347804458680585,11,4,9,5
39,5,8,2,10,7,1,3,0.0020627975463867188,0.6974047132456527,11,4,9,5
40,5,8,2,10,7,1,4,0.007001638412475586,0.37838371622777167,11,4,9,5
41,5,8,2,10,7,1,5,0.003142833709716797,0.4779287054211494,11,4,9,5
42,5,8,2,10,7,1,6,0.002010822296142578,0.12785143901409635,11,4,9,5
43,5,8,2,10,7,1,7,0.003020763397216797,0.09556211598167008,11,4,9,5
44,5,8,2,10,7,1,8,0.007158041000366211,0.10964112186860542,11,4,9,5
45,5,8,2,10,7,1,9,0.004000186920166016,0.3398684344655826,11,4,9,5
46,5,8,2,10,7,1,10,0.013598918914794922,0.09290319031906769,11,4,9,5
47,5,8,2,10,7,1,11,0.005033969879150391,1.1102230246251565e-16,11,4,9,5
48,6,8,2,10,7,1,1,0.003022432327270508,0.5335513931158024,14,6,13,6
49,6,8,2,10,7,1,2,0.006099224090576172,0.38190768552799814,14,6,13,6
50,6,8,2,10,7,1,3,0.0032792091369628906,0.27177618654722724,14,6,13,6
51,6,8,2,10,7,1,4,0.00411677360534668,0.5227050711886839,14,6,13,6
52,6,8,2,10,7,1,5,0.003017902374267578,0.32696715484061145,14,6,13,6
53,6,8,2,10,7,1,6,0.0031061172485351562,0.1944850912709537,14,6,13,6
