,num_timesteps,num_defenders,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
70,7,1,9,7,2,4,0.0010018348693847656,0.5194520547945205,5,2,3,3
71,7,1,9,7,2,5,0.001247406005859375,5.551115123125783e-17,5,2,3,3
72,7,1,9,8,1,1,0.0009999275207519531,0.8027397260273973,5,2,3,3
73,7,1,9,8,1,2,0.0010042190551757812,0.8,5,2,3,3
74,7,1,9,8,1,3,0.001001596450805664,0.44931506849315067,5,2,3,3
75,7,1,9,8,1,4,0.0009996891021728516,0.5194520547945205,5,2,3,3
76,7,1,9,8,1,5,0.0,5.551115123125783e-17,5,2,3,3
77,7,1,9,8,2,1,0.0009999275207519531,0.0,1,1,1,1
78,7,1,9,9,1,1,0.0009999275207519531,0.8027397260273973,5,2,3,3
79,7,1,9,9,1,2,0.0010001659393310547,0.8,5,2,3,3
80,7,1,9,9,1,3,0.0,0.44931506849315067,5,2,3,3
81,7,1,9,9,1,4,0.0009996891021728516,0.5194520547945205,5,2,3,3
82,7,1,9,9,1,5,0.0010001659393310547,5.551115123125783e-17,5,2,3,3
83,7,1,9,9,2,1,0.0009999275207519531,0.8027397260273973,4,1,2,3
84,7,1,9,9,2,2,0.0010004043579101562,0.8,4,1,2,3
85,7,1,9,9,2,3,0.0,0.44931506849315067,4,1,2,3
86,7,1,9,9,2,4,0.0009999275207519531,0.0,4,1,2,3
87,7,1,9,10,1,1,0.0010004043579101562,0.8027397260273973,5,2,3,3
88,7,1,9,10,1,2,0.0009996891021728516,0.8,5,2,3,3
89,7,1,9,10,1,3,0.0,0.44931506849315067,5,2,3,3
90,7,1,9,10,1,4,0.0009999275207519531,0.5194520547945205,5,2,3,3
91,7,1,9,10,1,5,0.0009999275207519531,5.551115123125783e-17,5,2,3,3
92,7,1,9,10,2,1,0.001004934310913086,0.0,1,1,1,1
93,7,1,10,7,1,1,0.0009958744049072266,0.6426573426573428,5,2,3,3
94,7,1,10,7,1,2,0.0,0.6741258741258742,5,2,3,3
95,7,1,10,7,1,3,0.0,0.6216783216783217,5,2,3,3
96,7,1,10,7,1,4,0.0013408660888671875,0.6573426573426573,5,2,3,3
97,7,1,10,7,1,5,0.0,1.1102230246251565e-16,5,2,3,3
98,7,1,10,7,2,1,0.0009999275207519531,0.6426573426573428,2,1,1,2
99,7,1,10,7,2,2,0.0,0.0,2,1,1,2
100,7,1,10,8,1,1,0.0009996891021728516,0.6426573426573428,5,2,3,3
101,7,1,10,8,1,2,0.0,0.6741258741258742,5,2,3,3
102,7,1,10,8,1,3,0.0009999275207519531,0.6216783216783217,5,2,3,3
103,7,1,10,8,1,4,0.0,0.6573426573426573,5,2,3,3
104,7,1,10,8,1,5,0.0010001659393310547,1.1102230246251565e-16,5,2,3,3
105,7,1,10,8,2,1,0.0019998550415039062,0.6426573426573428,2,1,1,2
106,7,1,10,8,2,2,0.0019998550415039062,0.0,2,1,1,2
107,7,1,10,9,1,1,0.0009999275207519531,0.6426573426573428,5,2,3,3
108,7,1,10,9,1,2,0.0,0.6741258741258742,5,2,3,3
109,7,1,10,9,1,3,0.0009999275207519531,0.6216783216783217,5,2,3,3
110,7,1,10,9,1,4,0.0009999275207519531,0.6573426573426573,5,2,3,3
111,7,1,10,9,1,5,0.0010037422180175781,1.1102230246251565e-16,5,2,3,3
112,7,1,10,9,2,1,0.0009996891021728516,0.6426573426573428,4,1,2,3
113,7,1,10,9,2,2,0.0,0.6741258741258742,4,1,2,3
114,7,1,10,9,2,3,0.0009999275207519531,0.6216783216783217,4,1,2,3
115,7,1,10,9,2,4,0.0009999275207519531,0.0,4,1,2,3
116,7,1,10,10,1,1,0.0009999275207519531,0.6426573426573428,5,2,3,3
117,7,1,10,10,1,2,0.0,0.6741258741258742,5,2,3,3
118,7,1,10,10,1,3,0.0009999275207519531,0.6216783216783217,5,2,3,3
119,7,1,10,10,1,4,0.0009999275207519531,0.6573426573426573,5,2,3,3
120,7,1,10,10,1,5,0.0009999275207519531,1.1102230246251565e-16,5,2,3,3
121,7,1,10,10,2,1,0.001001596450805664,0.6426573426573428,2,1,1,2
122,7,1,10,10,2,2,0.0010020732879638672,0.0,2,1,1,2
123,7,1,11,7,1,1,0.001008749008178711,0.7801136363636363,5,2,3,3
124,7,1,11,7,1,2,0.0,0.7840909090909091,5,2,3,3
125,7,1,11,7,1,3,0.0010023117065429688,0.4704545454545454,5,2,3,3
126,7,1,11,7,1,4,0.0,0.5363636363636364,5,2,3,3
127,7,1,11,7,1,5,0.001005411148071289,0.0,5,2,3,3
128,7,1,11,7,2,1,0.0,0.7801136363636363,5,2,3,3
129,7,1,11,7,2,2,0.0010042190551757812,0.7840909090909091,5,2,3,3
130,7,1,11,7,2,3,0.0,0.4704545454545454,5,2,3,3
131,7,1,11,7,2,4,0.001001596450805664,0.5363636363636364,5,2,3,3
132,7,1,11,7,2,5,0.0,0.0,5,2,3,3
133,7,1,11,8,1,1,0.0010001659393310547,0.9843478260869565,7,2,4,4
134,7,1,11,8,1,2,0.002071380615234375,0.8,7,2,4,4
135,7,1,11,8,1,3,0.002020597457885742,0.7420289855072464,7,2,4,4
136,7,1,11,8,1,4,0.0010693073272705078,0.7536231884057971,7,2,4,4
