,num_timesteps,num_clusters,dims,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
74,7,8,7,1,12,0.0032470226287841797,0.18112969979597782,18,6,16,6
75,7,8,7,1,13,0.0,0.14769072821556067,18,6,16,6
76,7,8,7,1,14,0.0060007572174072266,0.05979652443329145,18,6,16,6
77,7,8,7,1,15,0.0,0.05563783777581982,18,6,16,6
78,7,8,7,1,16,0.0048084259033203125,0.08026093603755716,18,6,16,6
79,7,8,7,1,17,0.00501251220703125,0.0729428584200017,18,6,16,6
80,7,8,7,1,18,0.0,8.326672684688674e-17,18,6,16,6
81,7,8,7,2,1,0.0020046234130859375,0.8010958904109589,11,5,10,6
82,7,8,7,2,2,0.002004384994506836,0.8,11,5,10,6
83,7,8,7,2,3,0.0,0.39890109890109887,11,5,10,6
84,7,8,7,2,4,0.0020041465759277344,0.2027397260273972,11,5,10,6
85,7,8,7,2,5,0.002003908157348633,0.3221917808219178,11,5,10,6
86,7,8,7,2,6,0.002003908157348633,0.27693707191780825,11,5,10,6
87,7,8,7,2,7,0.002004384994506836,0.3134246575342466,11,5,10,6
88,7,8,7,2,8,0.0037107467651367188,0.2627440405565742,11,5,10,6
89,7,8,7,2,9,0.0020666122436523438,0.1713156296962938,11,5,10,6
90,7,8,7,2,10,0.0030062198638916016,0.11132481273773492,11,5,10,6
91,7,8,7,2,11,0.002005338668823242,5.551115123125783e-17,11,5,10,6
92,7,8,8,1,1,0.0019998550415039062,0.8010958904109589,8,2,7,4
93,7,8,8,1,2,0.0019998550415039062,0.8,8,2,7,4
94,7,8,8,1,3,0.0013341903686523438,0.4580836971247931,8,2,7,4
95,7,8,8,1,4,0.0026903152465820312,0.526027397260274,8,2,7,4
96,7,8,8,1,5,0.0013401508331298828,0.3173553719008265,8,2,7,4
97,7,8,8,1,6,0.0,0.2027397260273972,8,2,7,4
98,7,8,8,1,7,0.0,0.22932473811442391,8,2,7,4
99,7,8,8,1,8,0.0,5.551115123125783e-17,8,2,7,4
100,7,8,8,2,1,0.0009999275207519531,0.0,1,1,1,1
101,7,8,9,1,1,0.002003908157348633,0.8010958904109589,5,1,4,3
102,7,8,9,1,2,0.0020046234130859375,0.8,5,1,4,3
103,7,8,9,1,3,0.0020036697387695312,0.39890109890109887,5,1,4,3
104,7,8,9,1,4,0.0010020732879638672,0.2027397260273972,5,1,4,3
105,7,8,9,1,5,0.002044677734375,0.0,5,1,4,3
106,7,8,9,2,1,0.0,0.8010958904109589,4,1,4,3
107,7,8,9,2,2,0.0,0.8,4,1,4,3
108,7,8,9,2,3,0.015998363494873047,0.4580836971247931,4,1,4,3
109,7,8,9,2,4,0.0,0.0,4,1,4,3
110,7,8,10,1,1,0.0020046234130859375,0.8010958904109589,9,2,7,4
111,7,8,10,1,2,0.0020041465759277344,0.8,9,2,7,4
112,7,8,10,1,3,0.0,0.4580836971247931,9,2,7,4
113,7,8,10,1,4,0.0044596195220947266,0.526027397260274,9,2,7,4
114,7,8,10,1,5,0.0,0.3173553719008265,9,2,7,4
115,7,8,10,1,6,0.0,0.2027397260273972,9,2,7,4
116,7,8,10,1,7,0.0,0.3221917808219178,9,2,7,4
117,7,8,10,1,8,0.0,0.22968750000000002,9,2,7,4
118,7,8,10,1,9,0.0,5.551115123125783e-17,9,2,7,4
119,7,8,10,2,1,0.0020041465759277344,0.0,1,1,1,1
120,7,9,7,1,1,0.007936477661132812,0.8027397260273972,20,7,17,8
121,7,9,7,1,2,0.0011603832244873047,0.8,20,7,17,8
122,7,9,7,1,3,0.0011489391326904297,0.397241379310345,20,7,17,8
123,7,9,7,1,4,0.0011317729949951172,0.44931506849315067,20,7,17,8
124,7,9,7,1,5,0.00086212158203125,0.3132374199765954,20,7,17,8
125,7,9,7,1,6,0.0020058155059814453,0.19999999999999996,20,7,17,8
126,7,9,7,1,7,0.0015308856964111328,0.2669879257133575,20,7,17,8
127,7,9,7,1,8,0.002015352249145508,0.3046575342465754,20,7,17,8
128,7,9,7,1,9,0.0010247230529785156,0.22409628437478138,20,7,17,8
129,7,9,7,1,10,0.002000093460083008,0.19987467210725737,20,7,17,8
130,7,9,7,1,11,0.0019998550415039062,0.23671232876712334,20,7,17,8
131,7,9,7,1,12,0.002000093460083008,0.14134928085077494,20,7,17,8
132,7,9,7,1,13,0.0019998550415039062,0.13214462029911428,20,7,17,8
133,7,9,7,1,14,0.003043651580810547,0.15656612104929835,20,7,17,8
134,7,9,7,1,15,0.002000093460083008,0.10141284072408613,20,7,17,8
135,7,9,7,1,16,0.0019998550415039062,0.08986304141292739,20,7,17,8
136,7,9,7,1,17,0.003000020980834961,0.10435712291691832,20,7,17,8
137,7,9,7,1,18,0.003000020980834961,0.09216725184460382,20,7,17,8
138,7,9,7,1,19,0.002000093460083008,0.05872937115737248,20,7,17,8
139,7,9,7,1,20,0.0030412673950195312,5.551115123125783e-17,20,7,17,8
140,7,9,7,2,1,0.0020041465759277344,0.8027397260273972,14,6,12,6
141,7,9,7,2,2,0.0,0.8,14,6,12,6
142,7,9,7,2,3,0.0032253265380859375,0.397241379310345,14,6,12,6
143,7,9,7,2,4,0.002775907516479492,0.44931506849315067,14,6,12,6
144,7,9,7,2,5,0.0020041465759277344,0.3132374199765954,14,6,12,6
145,7,9,7,2,6,0.002003908157348633,0.2311748701459312,14,6,12,6
146,7,9,7,2,7,0.0023643970489501953,0.32000000000000006,14,6,12,6
147,7,9,7,2,8,0.0016710758209228516,0.2665362035225049,14,6,12,6
148,7,9,7,2,9,0.0030007362365722656,0.3046575342465754,14,6,12,6
149,7,9,7,2,10,0.002000093460083008,0.22063492063492068,14,6,12,6
150,7,9,7,2,11,0.002982616424560547,0.12001229522194018,14,6,12,6
151,7,9,7,2,12,0.0018527507781982422,0.10435712291691845,14,6,12,6
152,7,9,7,2,13,0.003186464309692383,0.1768447851740569,14,6,12,6
153,7,9,7,2,14,0.0028040409088134766,5.551115123125783e-17,14,6,12,6
154,7,9,8,1,1,0.0015883445739746094,0.8027397260273972,8,3,7,4
155,7,9,8,1,2,0.0020194053649902344,0.8,8,3,7,4
156,7,9,8,1,3,0.001001119613647461,0.45069437883797825,8,3,7,4
157,7,9,8,1,4,0.002479076385498047,0.5194520547945205,8,3,7,4
158,7,9,8,1,5,0.0016374588012695312,0.31495016611295684,8,3,7,4
159,7,9,8,1,6,0.0018668174743652344,0.19999999999999996,8,3,7,4
160,7,9,8,1,7,0.0019998550415039062,0.22766798418972334,8,3,7,4
161,7,9,8,1,8,0.003000020980834961,0.0,8,3,7,4
162,7,9,8,2,1,0.002040386199951172,0.0,1,1,2,1
163,7,9,9,1,1,0.0019998550415039062,0.8027397260273972,7,4,5,4
164,7,9,9,1,2,0.0009999275207519531,0.8,7,4,5,4
165,7,9,9,1,3,0.002539396286010742,0.397241379310345,7,4,5,4
166,7,9,9,1,4,0.001001596450805664,0.44931506849315067,7,4,5,4
167,7,9,9,1,5,0.002363443374633789,0.3132374199765954,7,4,5,4
168,7,9,9,1,6,0.002004384994506836,0.2311748701459312,7,4,5,4
169,7,9,9,1,7,0.0015895366668701172,5.551115123125783e-17,7,4,5,4
170,7,9,9,2,1,0.0020003318786621094,0.8027397260273972,4,1,3,3
171,7,9,9,2,2,0.000644683837890625,0.8,4,1,3,3
172,7,9,9,2,3,0.0022895336151123047,0.45069437883797825,4,1,3,3
173,7,9,9,2,4,0.0019998550415039062,0.0,4,1,3,3
174,7,9,10,1,1,0.0009999275207519531,0.8027397260273972,9,3,7,4
175,7,9,10,1,2,0.0022516250610351562,0.8,9,3,7,4
176,7,9,10,1,3,0.0014781951904296875,0.45069437883797825,9,3,7,4
177,7,9,10,1,4,0.0015225410461425781,0.5194520547945205,9,3,7,4
178,7,9,10,1,5,0.0021543502807617188,0.31495016611295684,9,3,7,4
179,7,9,10,1,6,0.0020003318786621094,0.19999999999999996,9,3,7,4
180,7,9,10,1,7,0.0026612281799316406,0.32000000000000006,9,3,7,4
181,7,9,10,1,8,0.002053499221801758,0.2285714285714286,9,3,7,4
182,7,9,10,1,9,0.0020034313201904297,5.551115123125783e-17,9,3,7,4
183,7,9,10,2,1,0.0010020732879638672,0.0,1,1,1,1
184,7,10,7,1,1,0.0010149478912353516,0.6426573426573428,22,7,21,8
185,7,10,7,1,2,0.0020971298217773438,0.6741258741258742,22,7,21,8
186,7,10,7,1,3,0.00036525726318359375,0.6216783216783217,22,7,21,8
187,7,10,7,1,4,0.0022802352905273438,0.34408238820003517,22,7,21,8
188,7,10,7,1,5,0.0011317729949951172,0.29924796090350037,22,7,21,8
189,7,10,7,1,6,0.0010025501251220703,0.3804195804195804,22,7,21,8
190,7,10,7,1,7,0.0010035037994384766,0.27037037037037037,22,7,21,8
191,7,10,7,1,8,0.003123760223388672,0.25605869775852813,22,7,21,8
192,7,10,7,1,9,0.0010743141174316406,0.36594048713362876,22,7,21,8
193,7,10,7,1,10,0.001001596450805664,0.25212229630834276,22,7,21,8
194,7,10,7,1,11,0.0020058155059814453,0.11594648351506892,22,7,21,8
195,7,10,7,1,12,0.0020668506622314453,0.19157430414026078,22,7,21,8
196,7,10,7,1,13,0.001735687255859375,0.09703514423284942,22,7,21,8
197,7,10,7,1,14,0.0029501914978027344,0.14918004926055056,22,7,21,8
198,7,10,7,1,15,0.002039670944213867,0.08455357439261124,22,7,21,8
199,7,10,7,1,16,0.003426074981689453,0.09803134903249605,22,7,21,8
200,7,10,7,1,17,0.0020089149475097656,0.08733000168701133,22,7,21,8
201,7,10,7,1,18,0.002007722854614258,0.11905185874186022,22,7,21,8
202,7,10,7,1,19,0.0023365020751953125,0.10363015545593848,22,7,21,8
203,7,10,7,1,20,0.002006053924560547,0.1504938795153168,22,7,21,8
204,7,10,7,1,21,0.0020036697387695312,0.016173943119696887,22,7,21,8
205,7,10,7,1,22,0.0036096572875976562,2.220446049250313e-16,22,7,21,8
206,7,10,7,2,1,0.002195596694946289,0.6426573426573428,2,1,2,2
207,7,10,7,2,2,0.0019996166229248047,0.0,2,1,2,2
208,7,10,8,1,1,0.0009999275207519531,0.6426573426573428,10,3,9,6
209,7,10,8,1,2,0.0020003318786621094,0.6741258741258742,10,3,9,6
210,7,10,8,1,3,0.0005257129669189453,0.6216783216783217,10,3,9,6
211,7,10,8,1,4,0.002023935317993164,0.6573426573426574,10,3,9,6
212,7,10,8,1,5,0.0010004043579101562,0.5608656049832521,10,3,9,6
213,7,10,8,1,6,0.00099945068359375,0.3104895104895104,10,3,9,6
214,7,10,8,1,7,0.002359151840209961,0.4083916083916083,10,3,9,6
215,7,10,8,1,8,0.002438783645629883,0.34836378092192044,10,3,9,6
216,7,10,8,1,9,0.0030014514923095703,0.3804195804195804,10,3,9,6
217,7,10,8,1,10,0.002000093460083008,1.1102230246251565e-16,10,3,9,6
218,7,10,8,2,1,0.003416299819946289,0.6426573426573428,2,1,2,2
219,7,10,8,2,2,0.002137422561645508,0.0,2,1,2,2
220,7,10,9,1,1,0.002004384994506836,0.6426573426573428,7,4,6,5
221,7,10,9,1,2,0.002004861831665039,0.6741258741258742,7,4,6,5
222,7,10,9,1,3,0.0026900768280029297,0.6216783216783217,7,4,6,5
223,7,10,9,1,4,0.0023546218872070312,0.5608656049832521,7,4,6,5
224,7,10,9,1,5,0.0020012855529785156,0.5818181818181818,7,4,6,5
225,7,10,9,1,6,0.0024585723876953125,0.35616978957836737,7,4,6,5
226,7,10,9,1,7,0.0020487308502197266,1.1102230246251565e-16,7,4,6,5
