,num_timesteps,num_defenders,defense_time_threshold,iteration_number,iteration_time,gap,iterations_to_converge,def_support,defender_actions_size,attacker_actions_size
0,7,1,1,1,0.7890727519989014,0.8705712351440694,6,3,5,4
1,7,1,1,2,0.005216836929321289,0.6666666666666667,6,3,5,4
2,7,1,1,3,0.0063018798828125,0.4780628760013099,6,3,5,4
3,7,1,1,4,0.004034757614135742,0.5673196768998345,6,3,5,4
4,7,1,1,5,0.002125978469848633,0.06589631908124749,6,3,5,4
5,7,1,1,6,0.002349853515625,0.0,6,3,5,4
6,7,1,2,1,0.003020763397216797,0.8705712351440694,4,1,4,3
7,7,1,2,2,0.002005338668823242,0.6666666666666667,4,1,4,3
8,7,1,2,3,0.008554220199584961,0.4780628760013099,4,1,4,3
9,7,1,2,4,0.003014087677001953,0.0,4,1,4,3
10,7,2,1,1,0.0013594627380371094,0.8705712351440694,11,4,11,5
11,7,2,1,2,0.002511262893676758,0.6666666666666667,11,4,11,5
12,7,2,1,3,0.0010073184967041016,0.6645211956755309,11,4,11,5
13,7,2,1,4,0.002014636993408203,0.5673196768998345,11,4,11,5
14,7,2,1,5,0.0020210742950439453,0.3723933236105692,11,4,11,5
15,7,2,1,6,0.002530813217163086,0.26957898589761187,11,4,11,5
16,7,2,1,7,0.0021543502807617188,0.2517520318801898,11,4,11,5
17,7,2,1,8,0.004491329193115234,0.014434783865993783,11,4,11,5
18,7,2,1,9,0.0019991397857666016,0.31419503682230004,11,4,11,5
19,7,2,1,10,0.005652427673339844,0.08447632973266378,11,4,11,5
20,7,2,1,11,0.010614156723022461,0.0,11,4,11,5
21,7,2,2,1,0.008826494216918945,0.8705712351440694,4,1,4,3
22,7,2,2,2,0.004175901412963867,0.6666666666666667,4,1,4,3
23,7,2,2,3,0.003015279769897461,0.6645211956755309,4,1,4,3
24,7,2,2,4,0.0020728111267089844,0.0,4,1,4,3
25,7,3,1,1,0.003221273422241211,0.8705712351440694,28,10,28,12
26,7,3,1,2,0.001001596450805664,0.6666666666666667,28,10,28,12
27,7,3,1,3,0.0020041465759277344,0.6645211956755309,28,10,28,12
28,7,3,1,4,0.002086162567138672,0.5673196768998345,28,10,28,12
29,7,3,1,5,0.002006053924560547,0.3723933236105692,28,10,28,12
30,7,3,1,6,0.003008604049682617,0.26957898589761187,28,10,28,12
31,7,3,1,7,0.0021865367889404297,0.2517520318801898,28,10,28,12
32,7,3,1,8,0.003896951675415039,0.19717789241297629,28,10,28,12
33,7,3,1,9,0.004101276397705078,0.31419503682230004,28,10,28,12
34,7,3,1,10,0.005029916763305664,0.22781259153967148,28,10,28,12
35,7,3,1,11,0.006244659423828125,0.2942419595310743,28,10,28,12
36,7,3,1,12,0.0062181949615478516,0.256180325912791,28,10,28,12
37,7,3,1,13,0.0030562877655029297,0.25347653552384225,28,10,28,12
38,7,3,1,14,0.004119157791137695,0.2630600011383455,28,10,28,12
39,7,3,1,15,0.005394697189331055,0.12199564752363562,28,10,28,12
40,7,3,1,16,0.007151126861572266,0.2837746096594851,28,10,28,12
41,7,3,1,17,0.005527973175048828,0.15731749588807026,28,10,28,12
42,7,3,1,18,0.004302501678466797,0.2778041974913952,28,10,28,12
43,7,3,1,19,0.005015373229980469,0.09606917422682637,28,10,28,12
44,7,3,1,20,0.011999130249023438,0.07342673792407034,28,10,28,12
45,7,3,1,21,0.006095409393310547,0.024460187766086383,28,10,28,12
46,7,3,1,22,0.006056547164916992,0.03667874887814848,28,10,28,12
47,7,3,1,23,0.006209135055541992,0.03836147873150514,28,10,28,12
48,7,3,1,24,0.005315065383911133,0.0730206761943975,28,10,28,12
49,7,3,1,25,0.006131649017333984,0.026767428455530484,28,10,28,12
50,7,3,1,26,0.0074405670166015625,0.05018488605526977,28,10,28,12
51,7,3,1,27,0.016815900802612305,0.01281884688498891,28,10,28,12
52,7,3,1,28,0.014615058898925781,1.1102230246251565e-16,28,10,28,12
53,7,3,2,1,0.0023696422576904297,0.8705712351440694,4,1,4,3
54,7,3,2,2,0.003307342529296875,0.6666666666666667,4,1,4,3
55,7,3,2,3,0.003292560577392578,0.6645211956755309,4,1,4,3
56,7,3,2,4,0.0030243396759033203,0.0,4,1,4,3
57,8,1,1,1,0.002123117446899414,0.8705712351440694,6,3,6,4
58,8,1,1,2,0.0010063648223876953,0.6666666666666667,6,3,6,4
59,8,1,1,3,0.0020122528076171875,0.4780628760013099,6,3,6,4
60,8,1,1,4,0.002004384994506836,0.5673196768998345,6,3,6,4
61,8,1,1,5,0.0011529922485351562,0.06589631908124749,6,3,6,4
62,8,1,1,6,0.0021889209747314453,1.1102230246251565e-16,6,3,6,4
63,8,1,2,1,0.0020225048065185547,0.8705712351440694,6,3,6,4
64,8,1,2,2,0.0011553764343261719,0.6666666666666667,6,3,6,4
65,8,1,2,3,0.002010822296142578,0.4780628760013099,6,3,6,4
66,8,1,2,4,0.002005338668823242,0.5673196768998345,6,3,6,4
67,8,1,2,5,0.0010013580322265625,0.06589631908124749,6,3,6,4
68,8,1,2,6,0.002005338668823242,0.0,6,3,6,4
69,8,2,1,1,0.0021140575408935547,0.8705712351440694,10,4,10,5
70,8,2,1,2,0.002238035202026367,0.6666666666666667,10,4,10,5
71,8,2,1,3,0.0020122528076171875,0.6645211956755309,10,4,10,5
72,8,2,1,4,0.0012392997741699219,0.5673196768998345,10,4,10,5
73,8,2,1,5,0.0021593570709228516,0.3064970045293217,10,4,10,5
74,8,2,1,6,0.002013683319091797,0.4438218368013022,10,4,10,5
75,8,2,1,7,0.010364055633544922,0.014434783865993783,10,4,10,5
76,8,2,1,8,0.003038644790649414,0.31419503682230004,10,4,10,5
77,8,2,1,9,0.003115415573120117,0.08447632973266378,10,4,10,5
78,8,2,1,10,0.0030088424682617188,0.0,10,4,10,5
79,8,2,2,1,0.003015756607055664,0.8705712351440694,10,4,10,5
80,8,2,2,2,0.004239320755004883,0.6666666666666667,10,4,10,5
81,8,2,2,3,0.0010035037994384766,0.6645211956755309,10,4,10,5
82,8,2,2,4,0.002009868621826172,0.5673196768998345,10,4,10,5
83,8,2,2,5,0.0014300346374511719,0.3064970045293217,10,4,10,5
84,8,2,2,6,0.0021054744720458984,0.4438218368013022,10,4,10,5
85,8,2,2,7,0.004047393798828125,0.014434783865993783,10,4,10,5
86,8,2,2,8,0.004111766815185547,0.3141950368223,10,4,10,5
87,8,2,2,9,0.007228374481201172,0.08447632973266367,10,4,10,5
88,8,2,2,10,0.005352020263671875,1.1102230246251565e-16,10,4,10,5
89,8,3,1,1,0.005198240280151367,0.8705712351440694,24,10,24,12
90,8,3,1,2,0.004022359848022461,0.6666666666666667,24,10,24,12
91,8,3,1,3,0.004019498825073242,0.6645211956755309,24,10,24,12
92,8,3,1,4,0.004124641418457031,0.5673196768998345,24,10,24,12
93,8,3,1,5,0.005289793014526367,0.3723933236105692,24,10,24,12
94,8,3,1,6,0.006535530090332031,0.26957898589761187,24,10,24,12
95,8,3,1,7,0.004029512405395508,0.2517520318801898,24,10,24,12
96,8,3,1,8,0.007305622100830078,0.19717789241297629,24,10,24,12
97,8,3,1,9,0.003004789352416992,0.31419503682230004,24,10,24,12
98,8,3,1,10,0.009150981903076172,0.22781259153967148,24,10,24,12
99,8,3,1,11,0.007124900817871094,0.2942419595310743,24,10,24,12
100,8,3,1,12,0.007451772689819336,0.256180325912791,24,10,24,12
101,8,3,1,13,0.012534141540527344,0.2906338444847041,24,10,24,12
102,8,3,1,14,0.008450746536254883,0.23982773484389902,24,10,24,12
103,8,3,1,15,0.0048863887786865234,0.21636925780771288,24,10,24,12
104,8,3,1,16,0.0074656009674072266,0.12420790611910743,24,10,24,12
105,8,3,1,17,0.015494823455810547,0.11927600161884427,24,10,24,12
